age,workclass,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-per-year
29,Private,9,White,Male,0,0,40,<=50K
24,Private,14,White,Female,0,0,45,<=50K
49,Private,9,White,Female,0,0,40,<=50K
36,Private,11,White,Male,0,0,40,>50K
64,Self-emp-inc,13,White,Male,0,0,40,<=50K
31,Private,9,Black,Female,0,0,38,<=50K
53,Federal-gov,13,White,Male,0,0,40,>50K
38,Private,15,White,Male,0,0,60,<=50K
44,Private,13,White,Male,0,1977,40,>50K
29,Private,12,White,Male,0,0,45,<=50K
44,Self-emp-not-inc,9,White,Male,0,0,55,<=50K
43,Federal-gov,14,White,Male,5013,0,12,<=50K
18,Private,10,White,Female,2176,0,35,<=50K
51,Private,14,White,Male,0,0,50,>50K
59,Private,5,White,Female,0,0,40,<=50K
23,Private,13,Asian-Pac-Islander,Male,0,0,24,<=50K
28,Private,13,Black,Male,0,0,35,<=50K
42,Local-gov,4,White,Male,0,0,40,<=50K
30,Private,10,White,Male,0,0,48,<=50K
38,Private,9,White,Male,0,0,50,<=50K
26,Private,9,White,Male,0,0,40,<=50K
35,Private,11,White,Male,0,0,40,<=50K
24,Private,13,White,Female,0,0,20,<=50K
51,Private,5,White,Male,0,0,50,>50K
18,Private,5,Other,Female,0,0,32,<=50K
29,Private,12,White,Female,8614,0,40,>50K
38,Self-emp-not-inc,13,White,Female,0,0,60,>50K
45,Local-gov,14,White,Male,0,0,50,>50K
42,Private,5,White,Male,0,0,40,<=50K
22,Private,11,Black,Female,0,0,25,<=50K
29,Private,9,White,Female,0,0,40,<=50K
43,Self-emp-not-inc,9,White,Male,0,0,40,<=50K
24,Private,9,White,Female,0,0,32,<=50K
34,Private,13,White,Female,15024,0,36,>50K
52,Self-emp-not-inc,13,White,Male,0,0,50,>50K
34,Private,13,White,Female,0,0,35,<=50K
28,Private,10,Other,Male,0,0,40,<=50K
55,Private,9,White,Male,0,0,60,>50K
31,Self-emp-inc,9,White,Male,0,0,44,<=50K
46,Federal-gov,9,White,Female,0,0,40,>50K
34,Private,10,White,Male,0,0,65,<=50K
42,Self-emp-not-inc,9,White,Male,0,0,50,<=50K
21,Private,10,White,Female,0,0,40,<=50K
23,Self-emp-not-inc,2,White,Male,0,0,40,<=50K
23,Private,10,White,Male,0,0,40,<=50K
59,Local-gov,6,White,Male,0,0,40,<=50K
33,Private,6,White,Male,0,0,35,<=50K
58,State-gov,16,White,Male,0,0,1,>50K
29,Private,13,White,Male,0,0,40,<=50K
23,Private,6,White,Male,0,0,60,<=50K
47,Federal-gov,9,White,Female,0,0,40,<=50K
37,Private,13,White,Female,0,0,40,<=50K
41,State-gov,14,White,Male,0,0,40,>50K
40,Private,9,White,Male,0,0,40,<=50K
23,Private,9,White,Male,0,0,40,<=50K
34,Self-emp-not-inc,11,White,Male,0,0,60,>50K
23,Private,13,White,Female,0,0,40,<=50K
46,Private,14,White,Male,0,1977,45,>50K
48,Private,10,Black,Female,0,1669,38,<=50K
21,Private,6,White,Male,0,0,50,<=50K
42,Private,13,White,Male,7298,0,45,>50K
33,Private,11,White,Male,0,0,40,>50K
58,Federal-gov,10,White,Male,0,0,40,>50K
30,Private,13,White,Female,0,0,40,<=50K
38,Local-gov,14,White,Male,0,0,43,<=50K
21,Private,10,White,Female,0,0,25,<=50K
27,Private,13,White,Male,0,0,45,>50K
43,Private,10,Black,Female,0,0,40,<=50K
57,Self-emp-not-inc,9,White,Male,0,0,45,<=50K
33,Private,9,White,Female,0,0,40,<=50K
45,Self-emp-not-inc,9,White,Male,0,0,60,<=50K
22,Private,13,White,Male,0,0,40,<=50K
50,Local-gov,15,Black,Female,0,0,52,>50K
43,State-gov,9,White,Male,0,0,40,<=50K
33,Private,14,White,Male,0,0,40,<=50K
36,Private,13,White,Male,0,0,50,>50K
42,Private,11,White,Female,0,0,40,<=50K
31,Local-gov,13,Black,Male,0,0,48,<=50K
33,Self-emp-not-inc,13,White,Male,0,0,50,>50K
48,Private,10,White,Male,0,0,40,>50K
41,Private,3,White,Male,0,0,35,<=50K
44,Local-gov,10,White,Female,0,0,15,<=50K
25,Private,12,White,Female,0,0,40,<=50K
55,Private,9,White,Female,0,0,40,<=50K
68,Local-gov,6,Black,Female,0,0,90,<=50K
61,Self-emp-not-inc,9,White,Female,0,0,16,<=50K
33,Private,13,White,Male,0,0,40,>50K
50,Self-emp-not-inc,16,White,Female,0,0,60,>50K
37,Private,13,White,Female,0,1340,42,<=50K
46,Private,8,White,Male,7298,0,40,>50K
55,Self-emp-inc,15,White,Male,0,0,50,>50K
61,Self-emp-not-inc,2,White,Male,0,0,20,<=50K
36,Private,9,Black,Male,0,0,35,<=50K
31,State-gov,13,White,Male,0,0,47,<=50K
37,Private,9,White,Male,0,0,40,<=50K
25,Local-gov,10,White,Male,0,0,40,<=50K
25,Private,6,White,Male,0,0,40,<=50K
45,Private,13,White,Male,0,0,40,<=50K
47,Private,10,White,Female,0,0,36,<=50K
36,Private,8,White,Male,0,0,40,<=50K
40,Private,9,White,Male,0,0,40,<=50K
40,Private,9,Black,Male,0,0,40,<=50K
41,Private,11,White,Male,0,0,40,<=50K
35,Private,14,White,Male,0,1977,45,>50K
25,Private,15,White,Female,0,0,8,<=50K
22,State-gov,12,White,Female,0,0,15,<=50K
26,Private,10,White,Female,0,0,15,<=50K
48,Private,9,Asian-Pac-Islander,Female,0,0,40,<=50K
23,Private,9,White,Male,0,0,40,<=50K
20,Private,6,White,Male,0,0,40,<=50K
26,Private,9,White,Female,0,0,40,<=50K
52,Private,9,White,Female,0,0,40,<=50K
52,Private,9,White,Female,0,0,25,<=50K
23,Private,10,White,Male,0,0,60,<=50K
22,Private,9,White,Male,0,0,40,<=50K
55,Private,9,White,Male,0,0,40,>50K
17,Private,7,White,Male,0,0,25,<=50K
63,Self-emp-not-inc,13,White,Male,10605,0,40,>50K
47,Local-gov,13,White,Male,0,0,40,>50K
46,Self-emp-not-inc,9,White,Male,0,0,40,<=50K
25,Private,12,Asian-Pac-Islander,Female,0,0,37,>50K
57,Self-emp-inc,15,White,Male,15024,0,50,>50K
52,Private,9,White,Male,3325,0,40,<=50K
30,Local-gov,13,White,Male,0,0,40,>50K
45,Private,13,White,Male,0,0,45,>50K
52,Private,13,Asian-Pac-Islander,Male,0,0,40,<=50K
38,Private,9,White,Male,0,0,65,>50K
19,Private,9,Black,Female,0,0,20,<=50K
30,Local-gov,6,White,Male,0,0,40,<=50K
30,Private,12,White,Male,0,0,40,<=50K
25,Private,10,Black,Female,0,0,20,<=50K
22,Federal-gov,10,Black,Male,0,0,20,<=50K
34,Private,10,White,Male,0,0,45,<=50K
28,Private,10,White,Female,0,0,40,<=50K
26,Private,14,White,Female,0,0,40,<=50K
47,Private,13,White,Male,0,0,57,>50K
46,Self-emp-inc,11,Asian-Pac-Islander,Female,0,0,63,<=50K
42,Private,10,White,Female,0,0,43,<=50K
17,Private,6,White,Male,0,0,15,<=50K
38,Private,12,White,Male,0,0,40,<=50K
43,Self-emp-inc,11,White,Male,0,0,50,>50K
45,Private,13,White,Male,0,0,50,>50K
48,Private,9,White,Male,0,0,40,>50K
49,Private,10,Black,Male,0,0,60,<=50K
45,Self-emp-inc,15,White,Male,0,0,55,>50K
32,Private,13,White,Male,0,0,50,>50K
46,Self-emp-inc,13,White,Female,0,0,50,<=50K
60,Local-gov,7,White,Male,0,0,20,<=50K
42,Private,9,White,Male,0,0,40,<=50K
56,Private,9,White,Female,0,0,40,<=50K
19,Private,10,White,Female,0,0,30,<=50K
21,Private,9,White,Female,0,0,40,<=50K
46,State-gov,13,White,Male,0,0,45,<=50K
59,Private,13,White,Male,0,0,40,>50K
41,Private,10,White,Male,0,0,55,<=50K
35,Private,10,White,Male,0,0,60,<=50K
45,Private,10,White,Male,0,0,40,<=50K
44,Local-gov,13,White,Male,0,0,40,>50K
36,Private,10,White,Female,0,0,40,<=50K
35,Private,10,White,Female,0,0,40,>50K
22,State-gov,13,White,Female,0,0,43,<=50K
34,Self-emp-inc,10,White,Male,0,0,75,<=50K
48,Self-emp-not-inc,9,White,Male,0,0,40,>50K
51,State-gov,10,White,Male,0,1887,40,>50K
45,Private,13,White,Male,0,0,48,<=50K
39,Private,9,White,Male,0,0,40,<=50K
36,Private,13,White,Male,0,0,40,>50K
26,Local-gov,13,White,Male,0,2339,55,<=50K
55,Private,10,White,Male,0,0,38,<=50K
41,Local-gov,10,White,Female,0,0,40,<=50K
31,Local-gov,10,White,Female,0,0,35,<=50K
20,Private,9,White,Female,0,0,20,<=50K
26,Private,9,White,Male,0,0,40,<=50K
43,Private,10,White,Male,0,0,40,<=50K
68,Private,4,White,Male,0,0,30,<=50K
26,Private,10,White,Male,0,0,3,<=50K
43,Private,8,White,Male,0,0,40,<=50K
37,Self-emp-not-inc,9,White,Male,0,0,45,<=50K
32,Private,10,White,Female,0,0,38,<=50K
47,Private,9,White,Female,0,0,60,<=50K
42,Private,13,White,Male,0,0,60,<=50K
30,Local-gov,9,White,Male,0,0,25,<=50K
38,Private,13,White,Female,0,2444,45,>50K
26,Private,12,White,Male,0,0,40,<=50K
33,Private,14,White,Male,0,0,40,>50K
51,Private,14,White,Male,99999,0,50,>50K
25,Private,11,White,Female,0,0,40,<=50K
28,Private,12,White,Male,0,0,20,<=50K
28,Private,9,White,Male,0,0,45,<=50K
24,Private,13,White,Male,2174,0,45,<=50K
33,Private,10,White,Female,0,0,40,<=50K
39,Private,9,White,Female,0,0,40,<=50K
27,Private,10,White,Female,0,0,45,<=50K
17,Private,6,Black,Male,0,0,20,<=50K
46,Private,10,White,Female,0,0,40,>50K
30,Private,13,White,Male,0,0,50,>50K
26,Private,10,White,Female,0,0,24,<=50K
61,Self-emp-inc,14,White,Female,0,0,99,<=50K
25,Private,9,White,Female,0,0,40,<=50K
50,Private,9,White,Male,0,0,44,>50K
35,Private,9,White,Female,0,0,40,<=50K
23,Self-emp-inc,11,White,Male,0,0,50,<=50K
32,Federal-gov,11,Asian-Pac-Islander,Male,0,0,40,<=50K
31,Local-gov,9,Black,Male,0,0,40,<=50K
43,Private,11,White,Male,0,0,50,<=50K
37,Private,10,White,Female,0,0,45,<=50K
54,Self-emp-not-inc,6,Black,Female,0,0,10,<=50K
32,Private,10,White,Female,0,0,30,<=50K
29,Private,10,White,Female,0,0,40,<=50K
42,Self-emp-not-inc,9,Black,Male,0,0,25,<=50K
21,Private,9,White,Male,0,0,37,<=50K
46,Local-gov,13,Black,Male,0,0,40,<=50K
35,Self-emp-inc,10,White,Male,0,0,50,>50K
47,Private,9,White,Male,0,0,45,<=50K
25,Private,9,White,Male,0,0,75,<=50K
58,Private,10,White,Male,0,0,45,<=50K
18,Local-gov,6,White,Female,0,0,6,<=50K
65,Private,10,White,Female,1848,0,20,<=50K
45,Private,10,Black,Female,0,0,32,<=50K
48,Private,9,White,Male,7688,0,70,>50K
36,Private,12,Black,Male,10520,0,43,>50K
56,Private,9,White,Male,0,0,35,>50K
36,Private,12,White,Female,0,0,15,<=50K
45,Private,9,White,Female,0,0,40,<=50K
24,Private,13,White,Male,0,0,50,<=50K
46,Self-emp-inc,15,White,Male,15024,0,60,>50K
43,Federal-gov,9,White,Male,0,0,40,<=50K
58,Private,9,White,Male,0,0,40,<=50K
41,Self-emp-inc,9,White,Male,0,0,50,<=50K
25,Private,4,White,Male,0,0,40,<=50K
24,Private,10,White,Female,0,0,40,<=50K
31,Local-gov,9,White,Male,0,0,48,<=50K
44,Federal-gov,12,White,Male,0,0,40,>50K
20,Private,7,Black,Male,0,0,40,<=50K
22,Private,10,White,Female,0,0,40,<=50K
46,Private,9,Black,Female,0,0,45,<=50K
32,Private,10,White,Male,0,0,50,<=50K
47,Private,10,White,Female,0,0,40,<=50K
50,Private,10,White,Male,0,0,40,<=50K
30,Private,4,White,Male,0,0,50,<=50K
35,Private,9,White,Male,0,0,50,<=50K
30,Local-gov,12,Black,Male,0,0,40,<=50K
42,Self-emp-not-inc,10,White,Female,0,0,50,<=50K
47,Private,9,White,Male,0,0,40,<=50K
26,Private,9,White,Male,0,0,65,<=50K
42,Private,10,White,Male,0,0,89,>50K
41,Private,9,White,Male,0,0,40,<=50K
24,State-gov,13,White,Female,0,0,20,<=50K
32,Local-gov,12,Black,Female,0,0,40,<=50K
45,Self-emp-not-inc,4,White,Male,0,0,65,>50K
69,Self-emp-not-inc,15,White,Male,99999,0,40,>50K
39,Federal-gov,13,Black,Female,0,625,40,<=50K
56,Private,13,White,Female,0,0,32,<=50K
37,Private,9,Black,Female,0,0,40,<=50K
27,Self-emp-not-inc,9,White,Male,9562,0,50,>50K
23,Private,7,Asian-Pac-Islander,Male,14344,0,40,>50K
43,Self-emp-not-inc,5,White,Male,0,0,40,<=50K
40,Private,15,White,Male,15024,0,45,>50K
19,Private,9,White,Male,0,0,40,<=50K
40,Private,10,White,Male,0,0,40,>50K
32,Self-emp-inc,13,White,Male,0,0,50,<=50K
56,Self-emp-not-inc,10,White,Male,0,0,60,<=50K
53,Self-emp-not-inc,11,White,Male,0,0,40,<=50K
40,Private,9,White,Male,0,0,40,<=50K
18,Private,3,White,Male,0,0,54,<=50K
90,Self-emp-not-inc,10,White,Male,0,0,40,<=50K
30,Local-gov,10,White,Male,0,0,40,<=50K
29,Private,10,White,Male,0,0,40,<=50K
22,Private,9,White,Female,0,0,40,<=50K
54,Private,6,White,Female,0,0,40,<=50K
41,Private,13,White,Male,0,0,50,>50K
21,Private,10,White,Female,0,0,27,<=50K
27,Private,10,White,Male,0,0,40,<=50K
24,Private,13,White,Male,0,0,65,<=50K
29,Private,11,White,Male,0,0,40,<=50K
57,Private,13,White,Male,0,0,40,<=50K
43,Private,14,Asian-Pac-Islander,Male,0,0,40,>50K
23,Private,10,White,Male,0,0,24,<=50K
45,Private,9,White,Female,0,0,40,<=50K
29,Private,9,White,Female,0,0,45,<=50K
29,Private,10,White,Male,0,0,48,<=50K
49,Private,13,White,Male,0,0,40,<=50K
49,Private,9,White,Male,5013,0,40,<=50K
40,Private,14,White,Male,0,0,40,>50K
19,Private,9,White,Female,0,0,20,<=50K
18,Private,7,White,Female,0,0,10,<=50K
73,Self-emp-inc,6,White,Female,0,0,40,<=50K
35,Private,9,Black,Female,0,0,20,<=50K
54,Private,13,White,Female,0,0,50,<=50K
35,Private,10,White,Male,0,0,40,<=50K
45,Private,4,Black,Female,0,0,35,<=50K
24,Private,13,White,Female,0,0,8,<=50K
28,Private,3,White,Male,0,0,40,<=50K
27,Self-emp-not-inc,9,Black,Male,0,0,40,<=50K
28,Private,10,White,Male,0,0,40,>50K
41,Private,13,White,Male,0,0,48,>50K
30,Self-emp-not-inc,9,White,Male,0,0,40,<=50K
20,Private,10,White,Male,0,0,40,<=50K
51,Self-emp-not-inc,5,White,Male,0,0,20,<=50K
24,Private,9,White,Female,0,0,40,<=50K
41,Private,10,White,Male,0,0,56,>50K
44,Federal-gov,13,Asian-Pac-Islander,Male,0,0,40,>50K
38,Local-gov,13,White,Female,0,0,15,<=50K
36,Private,9,White,Male,0,0,40,>50K
21,Private,10,White,Female,0,0,45,<=50K
30,Private,10,White,Female,0,0,40,<=50K
45,Private,13,White,Male,0,1902,45,>50K
30,Private,9,Asian-Pac-Islander,Male,3411,0,40,<=50K
26,Private,13,Asian-Pac-Islander,Male,0,0,20,<=50K
37,Private,9,White,Male,0,0,46,<=50K
37,Federal-gov,14,White,Female,0,0,40,<=50K
27,Self-emp-inc,9,White,Male,0,0,50,<=50K
20,Private,9,White,Male,0,0,30,<=50K
30,Private,14,White,Male,0,0,15,>50K
55,Private,13,White,Female,0,0,40,<=50K
34,Local-gov,13,White,Male,0,0,45,>50K
46,Self-emp-not-inc,14,White,Male,0,0,50,>50K
46,State-gov,9,White,Female,0,0,38,<=50K
31,Private,14,White,Male,5178,0,40,>50K
19,Private,9,White,Female,0,0,40,<=50K
41,Self-emp-inc,14,White,Male,0,0,60,>50K
51,Self-emp-not-inc,9,White,Male,0,0,45,>50K
30,Private,9,White,Male,0,0,40,<=50K
40,Private,11,White,Male,0,0,40,>50K
24,Private,13,White,Female,0,0,30,<=50K
23,Private,12,White,Female,0,1974,20,<=50K
42,Private,13,White,Female,0,0,40,<=50K
37,Private,10,White,Male,0,0,40,<=50K
43,Private,10,White,Male,3103,0,40,>50K
58,Private,12,White,Male,0,1740,40,<=50K
19,Private,10,White,Male,0,0,14,<=50K
44,Self-emp-not-inc,14,White,Male,0,0,40,>50K
35,Private,16,Asian-Pac-Islander,Male,0,1902,40,>50K
73,Self-emp-not-inc,9,White,Male,0,0,40,<=50K
37,Local-gov,10,White,Male,0,0,48,<=50K
41,Local-gov,12,Black,Male,0,0,50,>50K
46,Private,13,White,Male,0,0,40,>50K
30,Private,9,Black,Male,0,0,40,<=50K
35,Self-emp-not-inc,5,White,Male,0,0,40,<=50K
54,Self-emp-not-inc,14,White,Male,0,0,60,<=50K
50,Private,13,White,Male,0,0,40,<=50K
36,Private,9,White,Male,0,0,40,<=50K
54,Private,9,White,Male,0,0,40,>50K
52,Private,13,White,Male,0,0,40,<=50K
60,Private,11,White,Male,0,0,40,<=50K
64,Private,10,White,Female,0,0,24,<=50K
26,Self-emp-not-inc,9,White,Female,0,1579,20,<=50K
44,Private,9,White,Female,0,0,40,<=50K
31,Private,10,White,Male,0,0,50,<=50K
55,Private,4,White,Male,0,0,60,<=50K
50,Private,9,White,Male,0,0,50,<=50K
38,Private,9,Black,Female,0,0,30,<=50K
41,Private,9,White,Male,0,0,40,<=50K
24,Private,9,White,Female,0,0,40,<=50K
36,Private,9,White,Male,0,0,40,<=50K
43,Federal-gov,15,Asian-Pac-Islander,Male,0,0,50,>50K
37,Private,9,White,Male,0,0,35,>50K
24,Private,13,White,Male,0,0,40,<=50K
32,Private,9,Black,Female,0,0,40,<=50K
20,Private,10,White,Male,0,0,30,<=50K
45,Self-emp-inc,13,Asian-Pac-Islander,Female,0,0,70,<=50K
62,Self-emp-not-inc,14,White,Female,0,0,32,<=50K
46,Private,9,White,Female,0,0,30,<=50K
45,Private,9,Black,Female,0,0,35,<=50K
17,Local-gov,6,White,Female,0,1602,40,<=50K
45,Private,9,Black,Male,0,0,24,<=50K
25,Private,9,White,Male,2597,0,40,<=50K
33,Private,9,White,Male,0,0,40,<=50K
31,Private,9,White,Male,0,0,40,<=50K
47,Private,6,White,Male,0,0,65,<=50K
61,Self-emp-inc,9,White,Male,0,0,55,<=50K
63,Self-emp-inc,10,White,Female,14084,0,60,>50K
53,Private,10,Black,Female,0,0,40,<=50K
22,Local-gov,13,White,Female,0,0,35,<=50K
37,Private,10,White,Male,0,0,57,<=50K
17,Private,7,White,Male,0,0,12,<=50K
28,Private,9,White,Female,0,0,40,<=50K
55,Private,5,White,Male,0,0,40,<=50K
40,Private,10,White,Male,7298,0,40,>50K
47,Private,5,White,Female,0,0,50,<=50K
30,Private,15,White,Male,10520,0,50,>50K
19,Private,5,White,Male,0,0,60,<=50K
35,Private,13,White,Male,0,0,45,<=50K
34,Self-emp-not-inc,15,White,Male,0,0,55,>50K
54,Local-gov,13,White,Male,0,0,40,<=50K
36,Private,12,White,Male,0,0,40,>50K
29,State-gov,10,White,Male,0,0,35,<=50K
43,Self-emp-inc,12,White,Male,0,0,50,<=50K
25,Private,9,Black,Male,0,0,35,<=50K
29,Private,6,Black,Female,0,0,32,<=50K
45,Private,9,White,Male,0,0,47,>50K
22,Private,6,White,Female,0,0,35,<=50K
54,Private,13,White,Male,0,0,25,>50K
19,Private,10,White,Female,0,0,30,<=50K
28,Private,9,White,Male,0,0,45,<=50K
34,Private,10,White,Male,0,0,40,<=50K
43,Private,12,White,Male,0,0,40,<=50K
42,Private,14,White,Male,0,1902,50,>50K
46,Local-gov,14,White,Female,8614,0,55,>50K
56,Private,6,White,Female,0,0,32,<=50K
45,Self-emp-inc,9,White,Male,0,0,42,<=50K
32,Private,16,White,Male,0,0,40,>50K
48,Private,13,White,Male,0,0,35,<=50K
24,Private,9,White,Male,0,0,40,<=50K
46,Private,13,White,Female,0,0,25,<=50K
23,Private,14,White,Female,0,0,36,<=50K
43,Private,10,White,Female,0,0,40,<=50K
66,Private,7,White,Male,0,0,20,<=50K
49,Private,10,White,Female,0,0,40,>50K
62,Private,13,White,Male,0,0,60,>50K
51,Local-gov,14,White,Male,0,0,60,<=50K
49,Private,7,White,Female,0,0,6,<=50K
52,Private,14,White,Male,0,0,40,<=50K
33,Private,10,Black,Male,0,0,40,<=50K
30,Private,9,White,Male,0,0,40,<=50K
29,Local-gov,13,White,Male,0,0,40,<=50K
38,Private,6,White,Male,0,2559,90,>50K
35,Private,9,Black,Female,0,0,36,<=50K
32,Private,10,White,Male,0,0,40,<=50K
50,Private,7,White,Female,0,0,40,<=50K
20,Private,9,White,Female,0,0,40,<=50K
70,Self-emp-inc,13,White,Female,0,0,55,<=50K
23,Private,13,White,Female,2907,0,40,<=50K
41,Private,9,White,Female,0,0,40,<=50K
27,Private,9,White,Male,0,0,40,<=50K
32,Private,7,White,Male,0,0,40,<=50K
19,State-gov,10,White,Male,0,0,25,<=50K
39,Local-gov,12,White,Female,0,0,50,>50K
60,Private,9,White,Female,99999,0,40,>50K
22,Private,9,White,Male,0,0,40,<=50K
52,Private,11,White,Male,0,0,40,<=50K
58,Private,9,White,Female,0,0,40,>50K
54,Private,9,White,Male,0,0,40,>50K
66,Local-gov,11,White,Female,0,0,20,<=50K
35,Private,9,White,Male,0,0,40,<=50K
