Unnamed: 0,sex,age,race,priors_count,is_recid,c_charge_degree=F,c_charge_degree=M
2734,Male,21,African-American,0,pos,1,0
2404,Female,31,African-American,0,pos,0,1
5166,Male,19,African-American,1,neg,1,0
3040,Male,32,African-American,12,neg,0,1
3199,Male,28,Native American&more,9,neg,1,0
6593,Male,51,African-American,1,pos,1,0
5690,Male,25,Native American&more,0,pos,0,1
730,Male,45,African-American,0,neg,1,0
5782,Female,22,Native American&more,1,neg,1,0
1097,Male,50,African-American,7,pos,1,0
3196,Female,27,Native American&more,1,pos,1,0
4088,Male,64,Native American&more,0,pos,0,1
1438,Female,23,African-American,0,pos,0,1
1882,Male,36,African-American,0,pos,1,0
2056,Male,25,Native American&more,0,pos,1,0
5561,Male,23,African-American,2,neg,1,0
7210,Male,23,African-American,0,pos,1,0
6167,Male,24,Native American&more,1,neg,0,1
241,Male,25,Native American&more,4,pos,1,0
6019,Male,21,Native American&more,4,neg,1,0
3118,Male,24,Native American&more,1,pos,1,0
227,Male,37,African-American,0,neg,0,1
5020,Male,46,African-American,3,neg,1,0
5999,Female,48,Native American&more,1,pos,1,0
5585,Male,29,African-American,0,pos,0,1
6162,Female,27,Native American&more,1,neg,1,0
3034,Male,27,Native American&more,0,neg,0,1
336,Female,21,African-American,0,neg,1,0
470,Male,54,African-American,2,pos,0,1
2062,Male,32,Native American&more,0,pos,1,0
1432,Female,42,African-American,2,pos,0,1
134,Female,29,Native American&more,10,neg,1,0
4262,Male,37,Native American&more,1,neg,1,0
5626,Male,24,Native American&more,5,neg,1,0
2124,Male,34,Native American&more,1,pos,1,0
4850,Male,51,African-American,2,pos,1,0
2119,Male,29,African-American,11,neg,1,0
88,Female,35,African-American,1,pos,0,1
3671,Male,38,African-American,0,pos,1,0
6184,Female,43,African-American,0,pos,0,1
83,Male,50,Native American&more,0,neg,1,0
2843,Male,23,African-American,2,neg,1,0
3733,Male,34,Native American&more,0,pos,0,1
157,Female,46,Native American&more,1,pos,1,0
1222,Female,25,African-American,2,neg,1,0
3255,Male,23,African-American,6,neg,1,0
4194,Male,35,Native American&more,5,pos,1,0
6951,Female,22,Native American&more,1,pos,0,1
1606,Male,36,African-American,0,pos,1,0
460,Female,34,Native American&more,4,neg,1,0
5825,Male,29,African-American,16,neg,1,0
7162,Male,37,African-American,4,pos,1,0
3927,Female,23,Native American&more,0,pos,0,1
4176,Male,41,African-American,16,neg,1,0
1747,Male,27,African-American,3,pos,0,1
4791,Female,58,Native American&more,0,neg,1,0
917,Male,21,African-American,2,neg,1,0
3061,Male,25,African-American,1,neg,0,1
1996,Male,31,Native American&more,5,neg,1,0
6717,Male,47,Native American&more,5,neg,0,1
2193,Male,35,Native American&more,7,neg,1,0
5950,Male,20,Native American&more,0,pos,1,0
5974,Male,20,African-American,1,pos,1,0
2577,Male,33,Native American&more,3,pos,1,0
1980,Male,31,Native American&more,1,neg,0,1
5355,Female,20,African-American,0,pos,1,0
7004,Female,29,African-American,0,pos,1,0
2196,Female,28,African-American,3,neg,1,0
1849,Male,51,African-American,4,pos,1,0
2402,Male,28,African-American,4,pos,1,0
4344,Male,41,Native American&more,1,pos,0,1
279,Female,22,Native American&more,1,pos,1,0
5706,Male,37,African-American,17,neg,1,0
3943,Male,51,Native American&more,0,pos,0,1
1803,Male,29,African-American,13,neg,1,0
5592,Male,29,African-American,6,neg,1,0
3477,Male,50,Native American&more,0,pos,1,0
6470,Male,30,African-American,9,neg,0,1
2574,Male,52,African-American,7,neg,1,0
2089,Male,33,African-American,23,neg,1,0
5589,Female,36,African-American,1,pos,1,0
2898,Male,22,Native American&more,0,pos,0,1
4178,Male,28,African-American,3,pos,1,0
6111,Male,30,African-American,10,neg,1,0
494,Male,54,African-American,0,pos,0,1
1440,Male,48,African-American,9,neg,1,0
5533,Female,36,Native American&more,7,neg,1,0
377,Male,25,African-American,7,neg,1,0
2589,Male,30,African-American,0,pos,1,0
1888,Male,24,Native American&more,0,pos,0,1
5768,Female,33,Native American&more,3,neg,1,0
4324,Male,24,African-American,0,pos,0,1
836,Male,26,Native American&more,5,neg,1,0
4888,Male,31,Native American&more,1,neg,1,0
4816,Male,25,African-American,1,neg,0,1
3440,Male,44,Native American&more,0,neg,0,1
4768,Female,39,Native American&more,0,pos,0,1
1160,Female,21,African-American,3,neg,1,0
4582,Female,34,African-American,6,pos,1,0
1807,Male,32,African-American,8,neg,1,0
4401,Male,31,African-American,2,neg,1,0
2948,Female,20,African-American,1,neg,1,0
2653,Female,22,African-American,1,pos,0,1
1781,Male,22,African-American,0,pos,1,0
4741,Female,53,Native American&more,0,pos,0,1
1156,Male,20,Native American&more,0,neg,1,0
4066,Male,49,Native American&more,3,pos,1,0
6481,Male,29,African-American,7,neg,1,0
171,Male,52,Native American&more,2,pos,0,1
5516,Male,28,Native American&more,0,neg,1,0
7089,Male,51,Native American&more,0,neg,1,0
3864,Male,23,Native American&more,0,pos,0,1
3354,Female,38,African-American,3,neg,1,0
6619,Male,28,African-American,5,neg,1,0
3785,Female,23,Native American&more,7,neg,0,1
2296,Male,31,African-American,7,neg,1,0
6773,Male,67,Native American&more,0,pos,0,1
4392,Male,39,Native American&more,0,pos,0,1
2097,Male,21,Native American&more,1,pos,1,0
5404,Male,51,Native American&more,0,pos,0,1
2139,Male,25,African-American,4,neg,1,0
4644,Male,25,African-American,11,neg,0,1
3468,Male,36,Native American&more,8,pos,0,1
366,Female,20,Native American&more,1,pos,1,0
3638,Male,47,African-American,19,neg,1,0
2115,Female,46,African-American,0,pos,1,0
3563,Male,25,African-American,2,neg,1,0
5363,Female,38,Native American&more,1,neg,0,1
2106,Male,26,Native American&more,0,pos,1,0
3526,Female,38,Native American&more,3,pos,1,0
4460,Male,31,African-American,6,neg,1,0
4640,Male,26,Native American&more,1,pos,0,1
893,Male,27,Native American&more,0,neg,1,0
6672,Male,57,African-American,2,pos,0,1
323,Male,29,African-American,7,pos,1,0
3277,Male,27,African-American,6,neg,1,0
955,Female,24,Native American&more,2,neg,1,0
748,Female,25,African-American,1,pos,0,1
207,Female,28,African-American,0,pos,1,0
3159,Male,25,Native American&more,2,pos,1,0
6358,Female,36,Native American&more,6,neg,1,0
535,Male,25,Native American&more,0,pos,1,0
5581,Male,30,African-American,1,pos,0,1
4370,Male,39,African-American,1,pos,1,0
6303,Male,19,Native American&more,1,neg,1,0
5346,Male,61,Native American&more,0,pos,0,1
3138,Male,57,African-American,2,pos,1,0
1742,Female,48,Native American&more,9,pos,1,0
5920,Male,24,Native American&more,1,pos,1,0
4142,Male,29,Native American&more,3,neg,1,0
2152,Female,27,Native American&more,0,pos,1,0
6527,Male,26,Native American&more,2,pos,1,0
3939,Male,30,Native American&more,0,pos,1,0
6551,Female,40,African-American,1,pos,1,0
4317,Female,53,Native American&more,6,neg,1,0
6954,Male,25,Native American&more,2,neg,1,0
497,Male,38,African-American,0,pos,1,0
4503,Male,35,Native American&more,2,pos,1,0
2224,Male,21,Native American&more,3,neg,1,0
3541,Male,31,African-American,2,pos,0,1
4253,Female,43,Native American&more,0,neg,0,1
3460,Male,67,Native American&more,0,pos,0,1
4716,Male,32,African-American,2,pos,1,0
1514,Female,22,African-American,0,neg,1,0
6263,Male,44,Native American&more,0,pos,0,1
72,Male,39,African-American,1,pos,0,1
548,Male,23,Native American&more,2,pos,1,0
4848,Male,32,Native American&more,0,pos,0,1
3887,Female,28,Native American&more,1,neg,1,0
5435,Female,39,Native American&more,3,pos,1,0
4296,Female,48,Native American&more,8,neg,0,1
5873,Female,48,Native American&more,0,pos,0,1
3042,Male,21,Native American&more,1,pos,0,1
6580,Male,48,African-American,7,neg,0,1
6445,Male,29,Native American&more,0,neg,0,1
4868,Male,21,African-American,1,pos,1,0
1859,Male,53,Native American&more,9,neg,1,0
6110,Female,58,Native American&more,1,pos,1,0
740,Male,23,African-American,0,pos,1,0
4942,Male,26,Native American&more,2,pos,1,0
6817,Male,30,African-American,0,pos,0,1
607,Female,59,Native American&more,0,pos,0,1
4563,Female,45,Native American&more,6,neg,1,0
4019,Male,28,African-American,1,pos,1,0
3144,Male,67,Native American&more,2,pos,1,0
4385,Male,45,Native American&more,1,pos,0,1
876,Male,22,Native American&more,1,neg,1,0
6990,Female,50,Native American&more,3,neg,1,0
288,Male,28,African-American,3,neg,0,1
1406,Male,21,Native American&more,0,pos,1,0
4722,Male,41,African-American,7,neg,0,1
938,Male,22,African-American,6,neg,1,0
3642,Male,30,African-American,0,pos,1,0
2914,Male,21,African-American,0,pos,1,0
1052,Male,35,Native American&more,0,pos,1,0
4073,Male,47,Native American&more,1,pos,1,0
897,Male,28,African-American,3,neg,0,1
5822,Male,46,African-American,0,pos,0,1
5571,Male,22,Native American&more,0,neg,0,1
378,Female,53,Native American&more,1,pos,0,1
3300,Male,23,African-American,0,neg,0,1
856,Male,46,Native American&more,0,pos,1,0
4407,Female,37,African-American,0,pos,0,1
3407,Male,24,Native American&more,8,neg,1,0
4742,Male,31,Native American&more,6,neg,0,1
6453,Female,55,Native American&more,0,pos,1,0
5102,Male,45,African-American,7,pos,1,0
6724,Female,33,Native American&more,0,pos,1,0
5063,Female,55,Native American&more,2,pos,1,0
65,Male,29,African-American,4,neg,1,0
5505,Male,36,Native American&more,0,pos,1,0
6787,Male,28,African-American,1,neg,1,0
6996,Female,42,Native American&more,0,pos,1,0
1302,Male,29,Native American&more,7,neg,0,1
1487,Male,26,Native American&more,0,neg,0,1
5243,Male,37,Native American&more,8,neg,1,0
1251,Male,51,Native American&more,3,neg,1,0
368,Male,30,Native American&more,0,pos,1,0
349,Female,32,Native American&more,1,neg,1,0
102,Female,39,Native American&more,0,neg,1,0
491,Female,30,Native American&more,0,pos,0,1
5534,Male,45,Native American&more,6,pos,1,0
521,Male,48,Native American&more,1,neg,1,0
3820,Male,24,African-American,1,pos,1,0
1174,Male,50,African-American,4,pos,0,1
4920,Female,31,African-American,1,pos,0,1
376,Male,40,Native American&more,0,neg,1,0
6858,Female,51,African-American,3,pos,0,1
4732,Male,43,Native American&more,6,neg,1,0
2598,Male,28,Native American&more,1,pos,0,1
307,Male,23,African-American,4,neg,0,1
4735,Male,37,African-American,3,pos,0,1
5984,Female,26,Native American&more,0,pos,1,0
2437,Male,25,African-American,1,neg,1,0
3854,Female,29,Native American&more,2,neg,1,0
4823,Female,25,African-American,0,pos,1,0
5043,Male,28,African-American,7,neg,1,0
5992,Male,21,Native American&more,2,neg,1,0
1130,Male,26,Native American&more,7,neg,0,1
4876,Male,27,African-American,8,neg,0,1
2474,Male,54,Native American&more,0,pos,0,1
3165,Male,35,African-American,5,pos,1,0
5957,Male,38,Native American&more,0,neg,1,0
791,Male,32,African-American,22,neg,1,0
261,Male,24,Native American&more,0,pos,0,1
4505,Female,54,Native American&more,1,pos,0,1
1075,Male,49,African-American,1,neg,1,0
4281,Male,24,African-American,1,neg,0,1
4632,Male,25,Native American&more,3,pos,1,0
105,Male,31,Native American&more,0,pos,0,1
723,Male,41,Native American&more,2,pos,0,1
1322,Male,26,African-American,0,pos,0,1
2665,Male,23,Native American&more,3,neg,1,0
4879,Male,24,African-American,1,pos,1,0
642,Male,24,Native American&more,1,neg,1,0
3412,Male,33,Native American&more,3,pos,0,1
4728,Female,34,Native American&more,5,neg,1,0
4961,Female,20,Native American&more,0,pos,0,1
3505,Female,27,Native American&more,0,pos,0,1
3772,Male,28,African-American,1,pos,0,1
3190,Male,31,Native American&more,0,pos,0,1
1522,Male,56,Native American&more,0,pos,1,0
3675,Male,57,African-American,9,pos,1,0
6559,Male,28,Native American&more,1,neg,1,0
4490,Female,28,African-American,0,pos,0,1
5345,Male,32,African-American,17,neg,1,0
2128,Female,45,Native American&more,15,neg,1,0
5665,Male,30,African-American,6,neg,1,0
6058,Male,38,Native American&more,0,pos,1,0
6568,Male,23,African-American,3,neg,1,0
2825,Male,56,Native American&more,2,pos,1,0
5683,Male,26,Native American&more,1,neg,1,0
2829,Male,22,Native American&more,0,pos,1,0
4155,Male,28,Native American&more,5,pos,0,1
434,Male,33,Native American&more,0,pos,1,0
222,Male,48,African-American,0,pos,1,0
1252,Male,21,African-American,0,pos,1,0
3480,Male,34,Native American&more,3,neg,0,1
4426,Female,19,African-American,0,neg,0,1
2208,Male,22,African-American,0,pos,1,0
5054,Male,45,Native American&more,2,pos,0,1
1099,Female,30,African-American,4,neg,0,1
308,Male,62,Native American&more,0,pos,1,0
4331,Male,24,African-American,15,neg,1,0
6597,Male,53,African-American,13,pos,0,1
5738,Male,37,Native American&more,3,pos,1,0
1562,Male,42,Native American&more,2,neg,1,0
6582,Female,56,African-American,2,neg,0,1
3500,Male,24,African-American,1,neg,0,1
4699,Male,43,African-American,7,neg,1,0
3191,Female,32,African-American,3,pos,1,0
6885,Male,29,Native American&more,1,pos,0,1
44,Male,29,African-American,0,neg,1,0
6762,Female,26,Native American&more,7,neg,1,0
4052,Male,26,African-American,2,pos,1,0
3424,Male,26,Native American&more,1,neg,0,1
2686,Male,24,Native American&more,3,neg,0,1
3351,Male,34,African-American,1,neg,0,1
5081,Male,30,African-American,3,neg,0,1
2237,Male,22,African-American,0,pos,0,1
4726,Male,31,African-American,0,pos,0,1
2168,Female,27,Native American&more,4,neg,0,1
5804,Male,31,Native American&more,19,neg,1,0
5919,Male,41,African-American,0,pos,0,1
2380,Female,36,Native American&more,0,pos,0,1
4092,Female,45,African-American,3,pos,1,0
260,Female,23,Native American&more,5,neg,1,0
1225,Female,28,Native American&more,1,pos,0,1
4810,Female,29,Native American&more,0,neg,1,0
550,Male,42,African-American,8,pos,1,0
4620,Female,35,African-American,9,pos,1,0
7008,Female,47,African-American,4,pos,0,1
3706,Female,33,African-American,2,pos,1,0
6304,Male,53,Native American&more,0,pos,1,0
6520,Female,30,African-American,15,neg,1,0
6363,Male,42,Native American&more,0,pos,0,1
3247,Male,40,African-American,3,neg,1,0
3216,Female,25,African-American,4,neg,1,0
6428,Male,25,African-American,2,neg,1,0
1778,Male,34,African-American,2,pos,1,0
2072,Male,39,Native American&more,0,pos,0,1
1255,Female,54,Native American&more,1,pos,1,0
6203,Male,40,Native American&more,0,pos,0,1
580,Female,46,Native American&more,0,pos,0,1
1617,Male,26,African-American,13,neg,1,0
5547,Male,31,Native American&more,3,neg,0,1
2586,Male,37,Native American&more,0,pos,0,1
1953,Male,22,Native American&more,1,neg,1,0
4648,Male,27,African-American,15,neg,1,0
3492,Male,32,Native American&more,0,pos,1,0
620,Female,23,Native American&more,3,pos,1,0
6023,Female,34,African-American,1,pos,0,1
5611,Male,29,African-American,17,neg,1,0
3745,Male,22,African-American,2,neg,0,1
3359,Female,23,Native American&more,1,pos,0,1
4560,Male,25,African-American,5,neg,1,0
5805,Male,21,Native American&more,0,pos,0,1
5863,Female,26,African-American,1,pos,0,1
1300,Male,39,African-American,5,neg,1,0
5747,Male,21,Native American&more,1,pos,1,0
3942,Male,29,African-American,6,pos,0,1
78,Female,26,African-American,1,neg,1,0
1057,Male,21,African-American,0,neg,1,0
5471,Male,26,Native American&more,10,neg,0,1
4413,Male,20,Native American&more,1,neg,1,0
2335,Male,33,Native American&more,0,pos,1,0
4404,Female,25,African-American,0,pos,0,1
3390,Male,24,African-American,1,pos,0,1
564,Male,25,Native American&more,2,neg,1,0
6276,Female,46,Native American&more,1,pos,1,0
3174,Female,65,Native American&more,1,neg,0,1
5399,Male,39,Native American&more,3,neg,1,0
6949,Male,59,Native American&more,0,neg,0,1
2763,Male,35,Native American&more,2,neg,1,0
6915,Female,42,African-American,8,neg,1,0
5249,Male,25,African-American,2,pos,1,0
1890,Male,24,African-American,2,neg,0,1
2571,Male,19,African-American,0,neg,1,0
6598,Female,43,African-American,6,pos,1,0
875,Female,26,African-American,1,pos,0,1
4346,Male,43,African-American,0,neg,1,0
5541,Male,30,Native American&more,3,pos,0,1
2391,Male,49,African-American,10,neg,1,0
129,Male,30,Native American&more,1,pos,0,1
6678,Male,31,Native American&more,3,neg,0,1
1460,Male,43,African-American,4,neg,1,0
4769,Male,68,Native American&more,4,pos,0,1
3837,Male,39,African-American,19,neg,1,0
5823,Male,26,Native American&more,3,pos,1,0
7170,Male,21,African-American,0,neg,1,0
6365,Male,43,Native American&more,1,pos,1,0
1334,Male,25,Native American&more,0,pos,1,0
1608,Male,32,African-American,1,pos,0,1
5615,Male,47,Native American&more,2,pos,0,1
3697,Male,28,African-American,5,pos,1,0
1347,Male,23,African-American,0,pos,1,0
3357,Male,53,African-American,6,neg,0,1
4031,Female,27,African-American,0,pos,0,1
5466,Male,25,Native American&more,1,neg,1,0
2392,Male,26,African-American,4,neg,1,0
4912,Male,24,Native American&more,0,pos,1,0
1794,Male,25,Native American&more,24,neg,1,0
1811,Male,23,Native American&more,2,neg,1,0
6807,Male,27,African-American,7,neg,0,1
3210,Female,47,Native American&more,2,pos,1,0
1296,Female,20,African-American,0,neg,1,0
1531,Male,45,African-American,3,pos,1,0
6344,Male,23,African-American,5,neg,1,0
1641,Male,28,African-American,5,pos,0,1
3356,Male,25,African-American,0,neg,0,1
2228,Male,21,African-American,3,neg,1,0
4684,Male,27,Native American&more,1,pos,0,1
2908,Male,24,Native American&more,6,pos,1,0
3728,Male,40,Native American&more,0,neg,0,1
6693,Female,23,African-American,0,pos,0,1
5761,Male,25,Native American&more,7,neg,1,0
4500,Male,22,Native American&more,0,pos,1,0
1127,Male,53,Native American&more,1,neg,1,0
5344,Male,30,African-American,1,pos,1,0
2895,Male,35,African-American,1,pos,0,1
2648,Male,24,Native American&more,3,neg,0,1
5758,Male,40,African-American,23,neg,0,1
2382,Female,24,African-American,2,pos,1,0
5172,Male,36,Native American&more,0,neg,1,0
269,Male,20,African-American,0,pos,1,0
4094,Male,44,Native American&more,2,pos,1,0
1452,Male,51,Native American&more,2,pos,1,0
1244,Female,42,Native American&more,0,neg,1,0
2290,Male,49,Native American&more,7,pos,1,0
2428,Male,46,Native American&more,5,neg,1,0
3616,Male,41,African-American,7,pos,1,0
4422,Male,23,Native American&more,0,pos,0,1
4572,Male,54,African-American,3,pos,0,1
6893,Male,31,Native American&more,0,pos,1,0
3178,Male,24,Native American&more,3,neg,0,1
6612,Female,31,Native American&more,2,neg,1,0
1172,Female,27,African-American,3,neg,1,0
4360,Male,25,African-American,4,neg,1,0
2343,Male,40,Native American&more,0,neg,0,1
1538,Male,34,African-American,2,pos,0,1
4639,Male,22,African-American,1,pos,1,0
5675,Male,25,African-American,6,neg,0,1
5129,Female,55,Native American&more,0,neg,1,0
5378,Male,47,Native American&more,2,neg,1,0
2460,Male,27,Native American&more,2,neg,1,0
4341,Male,27,Native American&more,0,neg,1,0
1128,Female,27,Native American&more,0,neg,1,0
4985,Male,30,Native American&more,14,neg,1,0
3093,Male,39,Native American&more,1,pos,1,0
61,Male,27,African-American,15,neg,1,0
3894,Male,45,Native American&more,2,pos,1,0
4598,Male,30,Native American&more,1,pos,1,0
5498,Female,28,Native American&more,3,neg,1,0
2707,Male,57,Native American&more,0,pos,1,0
891,Male,43,Native American&more,0,pos,0,1
3263,Male,58,African-American,10,neg,1,0
1968,Male,57,Native American&more,2,pos,1,0
1552,Male,58,African-American,24,neg,1,0
5423,Male,48,Native American&more,0,neg,0,1
2187,Male,23,African-American,2,pos,1,0
5831,Male,39,Native American&more,0,pos,0,1
1354,Male,28,African-American,1,pos,0,1
2021,Male,46,Native American&more,5,pos,0,1
1728,Male,37,African-American,8,pos,1,0
5726,Male,36,Native American&more,12,pos,1,0
2573,Female,33,African-American,5,neg,1,0
2213,Female,45,African-American,1,pos,1,0
3983,Female,28,Native American&more,0,pos,1,0
6149,Female,26,African-American,5,neg,1,0
3127,Male,42,Native American&more,3,neg,1,0
841,Male,29,African-American,2,pos,0,1
5078,Male,39,Native American&more,0,pos,1,0
6514,Male,58,African-American,0,pos,0,1
6971,Male,45,Native American&more,4,neg,0,1
1207,Male,28,African-American,7,neg,1,0
3090,Female,39,African-American,1,pos,1,0
3708,Male,39,Native American&more,3,neg,1,0
2505,Male,25,African-American,2,pos,1,0
2741,Male,59,Native American&more,0,pos,1,0
4818,Male,25,African-American,0,neg,0,1
4656,Male,32,African-American,9,neg,1,0
2996,Male,52,African-American,0,neg,1,0
5339,Male,31,African-American,16,neg,1,0
2697,Male,27,Native American&more,6,neg,1,0
6826,Male,30,Native American&more,0,pos,0,1
5905,Female,28,Native American&more,1,pos,0,1
5038,Male,60,African-American,1,pos,1,0
3877,Male,37,African-American,22,neg,0,1
3241,Male,29,African-American,5,pos,1,0
184,Male,47,African-American,23,neg,0,1
3572,Female,25,Native American&more,0,neg,1,0
1550,Female,28,Native American&more,2,pos,0,1
6017,Male,47,African-American,13,neg,1,0
4339,Female,47,Native American&more,0,pos,1,0
2626,Male,54,Native American&more,1,pos,1,0
4040,Male,31,African-American,6,pos,1,0
2467,Female,31,African-American,14,pos,1,0
7137,Male,33,African-American,3,pos,1,0
2318,Male,26,Native American&more,8,neg,1,0
935,Male,25,Native American&more,1,pos,1,0
1407,Male,57,Native American&more,15,pos,1,0
4497,Female,23,African-American,1,pos,0,1
5438,Male,26,African-American,10,neg,1,0
3548,Female,43,African-American,2,pos,1,0
1976,Female,24,Native American&more,0,pos,0,1
2337,Male,40,Native American&more,4,pos,1,0
3414,Male,41,African-American,4,neg,0,1
3679,Male,51,Native American&more,1,pos,0,1
6104,Male,30,African-American,0,pos,0,1
889,Female,31,Native American&more,1,neg,1,0
1051,Female,38,Native American&more,0,pos,1,0
3429,Female,53,Native American&more,0,pos,0,1
5765,Male,57,African-American,11,neg,1,0
148,Female,33,African-American,7,neg,1,0
1533,Male,45,African-American,0,pos,0,1
3601,Male,33,African-American,3,neg,1,0
3134,Male,37,African-American,10,neg,1,0
5942,Male,50,Native American&more,5,neg,1,0
5789,Male,24,African-American,2,neg,0,1
2267,Male,34,African-American,3,pos,1,0
7095,Male,40,Native American&more,0,pos,1,0
4982,Male,34,Native American&more,2,pos,0,1
3295,Female,26,Native American&more,0,pos,0,1
5333,Male,43,African-American,1,neg,1,0
1653,Female,24,African-American,1,pos,1,0
807,Female,19,Native American&more,1,neg,0,1
2837,Male,23,African-American,1,pos,1,0
1628,Male,22,Native American&more,0,pos,1,0
169,Male,23,Native American&more,0,pos,1,0
1261,Male,40,Native American&more,0,pos,0,1
2936,Male,32,African-American,6,neg,1,0
4372,Female,24,African-American,1,pos,1,0
857,Female,30,Native American&more,1,pos,0,1
3172,Male,30,African-American,1,pos,0,1
6440,Male,53,African-American,20,pos,1,0
130,Male,28,Native American&more,2,pos,1,0
5420,Male,58,African-American,0,pos,1,0
6014,Female,52,Native American&more,0,neg,0,1
3561,Male,56,African-American,0,pos,0,1
818,Female,32,Native American&more,1,neg,0,1
4913,Male,41,Native American&more,2,pos,1,0
5239,Male,22,African-American,3,neg,1,0
2300,Male,34,Native American&more,1,neg,1,0
4522,Male,33,African-American,18,neg,1,0
2240,Male,25,Native American&more,0,pos,0,1
5349,Male,41,Native American&more,2,pos,0,1
1131,Male,39,African-American,1,neg,0,1
6953,Male,24,African-American,1,neg,1,0
2218,Male,35,Native American&more,6,neg,1,0
4795,Male,25,Native American&more,6,neg,1,0
5997,Male,50,Native American&more,2,neg,1,0
142,Female,20,African-American,1,pos,1,0
912,Male,25,African-American,0,pos,0,1
4247,Female,52,Native American&more,0,pos,1,0
5962,Male,24,African-American,6,neg,1,0
6880,Male,29,Native American&more,2,pos,0,1
4836,Male,34,African-American,4,neg,1,0
5235,Male,35,African-American,0,pos,1,0
1733,Male,45,African-American,15,neg,1,0
2727,Male,25,African-American,13,neg,1,0
118,Male,31,African-American,1,pos,0,1
6668,Male,30,African-American,8,neg,0,1
3833,Male,34,Native American&more,16,neg,1,0
6217,Male,21,Native American&more,0,neg,0,1
6914,Male,37,African-American,4,neg,0,1
6160,Male,46,Native American&more,0,pos,1,0
2640,Female,40,Native American&more,7,neg,1,0
1108,Male,25,Native American&more,1,pos,1,0
5743,Male,29,Native American&more,1,pos,1,0
3177,Male,34,African-American,6,neg,1,0
5653,Female,39,Native American&more,2,pos,1,0
1379,Male,20,African-American,2,neg,1,0
6196,Male,31,Native American&more,3,neg,1,0
2445,Male,23,African-American,4,neg,1,0
7029,Male,42,African-American,0,pos,0,1
6416,Male,27,African-American,2,neg,1,0
439,Female,24,Native American&more,0,pos,1,0
367,Male,36,Native American&more,1,pos,1,0
396,Female,28,Native American&more,0,pos,1,0
2582,Male,27,African-American,1,neg,1,0
2548,Male,50,Native American&more,2,neg,0,1
2737,Male,22,African-American,0,neg,1,0
5053,Male,46,Native American&more,14,neg,1,0
1417,Male,28,Native American&more,1,pos,1,0
2531,Female,32,African-American,0,pos,1,0
1175,Female,23,African-American,0,pos,0,1
4297,Male,24,African-American,2,pos,0,1
250,Male,22,Native American&more,1,neg,0,1
990,Male,23,African-American,2,pos,0,1
3659,Female,30,Native American&more,1,pos,0,1
2020,Male,34,Native American&more,0,pos,1,0
6960,Male,40,Native American&more,4,neg,1,0
5519,Male,33,African-American,8,neg,1,0
3111,Male,30,Native American&more,4,pos,1,0
1032,Male,25,Native American&more,1,pos,1,0
4430,Male,33,African-American,2,pos,1,0
3438,Male,50,Native American&more,9,neg,0,1
3000,Male,62,Native American&more,3,pos,0,1
4156,Male,20,African-American,0,pos,1,0
3698,Male,38,Native American&more,12,pos,1,0
7177,Male,34,Native American&more,1,pos,1,0
6483,Male,32,Native American&more,1,pos,1,0
6726,Male,57,Native American&more,0,pos,0,1
2880,Female,28,African-American,0,neg,1,0
979,Female,36,Native American&more,4,neg,1,0
3823,Male,54,Native American&more,2,neg,0,1
