age,education-num,race,sex,capital-gain,capital-loss,hours-per-week,income-per-year,workclass
22.0,12.0,White,Male,0.0,0.0,32.0,<=50K,Private
20.0,10.0,White,Male,0.0,0.0,16.0,<=50K,Private
53.0,9.0,White,Male,6723.0,0.0,32.0,<=50K,Private
44.0,9.0,Black&more,Male,0.0,1092.0,32.0,<=50K,Private
28.0,9.0,Black&more,Male,0.0,0.0,40.0,<=50K,Private
70.0,7.0,White,Male,0.0,0.0,32.0,<=50K,Private
40.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
32.0,13.0,Black&more,Male,0.0,0.0,24.0,<=50K,Private
30.0,10.0,White,Male,14344.0,0.0,32.0,>50K,Local-gov
18.0,7.0,White,Female,0.0,0.0,20.0,<=50K,Private
24.0,9.0,White,Female,0.0,0.0,32.0,<=50K,Private
59.0,10.0,White,Female,0.0,0.0,16.0,>50K,Private
50.0,15.0,White,Male,0.0,0.0,29.0,>50K,Private
54.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
59.0,10.0,White,Male,0.0,0.0,16.0,>50K,Self-emp-not-inc
36.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
19.0,8.0,Black&more,Male,0.0,0.0,16.0,<=50K,State-gov
36.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
45.0,9.0,White,Male,0.0,0.0,6.0,<=50K,Private
58.0,10.0,White,Female,0.0,0.0,46.0,<=50K,Private
28.0,9.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
44.0,13.0,White,Male,6723.0,0.0,32.0,>50K,Private
35.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
49.0,13.0,White,Female,0.0,0.0,50.0,<=50K,Local-gov
30.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
19.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
56.0,10.0,White,Male,0.0,1602.0,32.0,<=50K,Self-emp-inc
42.0,13.0,White,Male,0.0,0.0,32.0,>50K,Private
26.0,10.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
53.0,9.0,White,Male,0.0,0.0,28.0,<=50K,Private
36.0,11.0,White,Male,0.0,0.0,36.0,<=50K,Private
36.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Private
54.0,7.0,White,Male,0.0,0.0,32.0,<=50K,Private
43.0,9.0,White,Male,0.0,0.0,24.0,<=50K,Private
61.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Self-emp-not-inc
33.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
55.0,13.0,White,Male,0.0,0.0,15.0,>50K,Private
49.0,13.0,White,Male,0.0,0.0,48.0,>50K,Private
53.0,13.0,White,Female,0.0,0.0,45.0,<=50K,Private
26.0,13.0,White,Male,3273.0,0.0,32.0,<=50K,Private
31.0,13.0,White,Female,0.0,0.0,40.0,>50K,Self-emp-not-inc
24.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
49.0,14.0,White,Female,0.0,1977.0,40.0,>50K,Private
47.0,9.0,White,Male,14344.0,0.0,32.0,>50K,Self-emp-inc
42.0,9.0,Black&more,Male,0.0,0.0,48.0,<=50K,Private
38.0,14.0,Black&more,Male,0.0,0.0,32.0,>50K,Private
29.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
24.0,14.0,White,Female,0.0,0.0,45.0,<=50K,Private
49.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
36.0,11.0,White,Male,0.0,0.0,32.0,>50K,Private
64.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Self-emp-inc
31.0,9.0,Black&more,Female,0.0,0.0,38.0,<=50K,Private
53.0,13.0,White,Male,0.0,0.0,32.0,>50K,Federal-gov
38.0,15.0,White,Male,0.0,0.0,48.0,<=50K,Private
44.0,13.0,White,Male,0.0,1887.0,32.0,>50K,Private
29.0,12.0,White,Male,0.0,0.0,36.0,<=50K,Private
44.0,9.0,White,Male,0.0,0.0,44.0,<=50K,Self-emp-not-inc
43.0,14.0,White,Male,4865.0,0.0,10.0,<=50K,Federal-gov
18.0,10.0,White,Female,2176.0,0.0,35.0,<=50K,Private
51.0,14.0,White,Male,0.0,0.0,40.0,>50K,Private
59.0,5.0,White,Female,0.0,0.0,40.0,<=50K,Private
23.0,13.0,Black&more,Male,0.0,0.0,20.0,<=50K,Private
28.0,13.0,Black&more,Male,0.0,0.0,28.0,<=50K,Private
42.0,4.0,White,Male,0.0,0.0,32.0,<=50K,Local-gov
30.0,10.0,White,Male,0.0,0.0,39.0,<=50K,Private
38.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Private
26.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
35.0,11.0,White,Male,0.0,0.0,32.0,<=50K,Private
24.0,13.0,White,Female,0.0,0.0,20.0,<=50K,Private
51.0,5.0,White,Male,0.0,0.0,40.0,>50K,Private
18.0,5.0,Black&more,Female,0.0,0.0,32.0,<=50K,Private
29.0,12.0,White,Female,8614.0,0.0,40.0,>50K,Private
38.0,13.0,White,Female,0.0,0.0,60.0,>50K,Self-emp-not-inc
45.0,14.0,White,Male,0.0,0.0,40.0,>50K,Local-gov
42.0,5.0,White,Male,0.0,0.0,32.0,<=50K,Private
22.0,11.0,Black&more,Female,0.0,0.0,25.0,<=50K,Private
29.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
43.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Self-emp-not-inc
24.0,9.0,White,Female,0.0,0.0,32.0,<=50K,Private
34.0,13.0,White,Female,15024.0,0.0,36.0,>50K,Private
52.0,13.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-not-inc
34.0,13.0,White,Female,0.0,0.0,35.0,<=50K,Private
28.0,10.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
55.0,9.0,White,Male,0.0,0.0,48.0,>50K,Private
31.0,9.0,White,Male,0.0,0.0,35.0,<=50K,Self-emp-inc
46.0,9.0,White,Female,0.0,0.0,40.0,>50K,Federal-gov
57.0,3.0,White,Male,6723.0,0.0,68.0,>50K,Private
34.0,10.0,White,Male,0.0,0.0,54.0,<=50K,Private
42.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Self-emp-not-inc
21.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
23.0,2.0,White,Male,0.0,0.0,32.0,<=50K,Self-emp-not-inc
23.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
59.0,6.0,White,Male,0.0,0.0,32.0,<=50K,Local-gov
33.0,6.0,White,Male,0.0,0.0,28.0,<=50K,Private
58.0,16.0,White,Male,0.0,0.0,1.0,>50K,State-gov
29.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
23.0,6.0,White,Male,0.0,0.0,48.0,<=50K,Private
47.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Federal-gov
37.0,13.0,White,Female,0.0,0.0,40.0,<=50K,Private
41.0,14.0,White,Male,0.0,0.0,32.0,>50K,State-gov
40.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
23.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
34.0,11.0,White,Male,0.0,0.0,48.0,>50K,Self-emp-not-inc
23.0,13.0,White,Female,0.0,0.0,40.0,<=50K,Private
46.0,14.0,White,Male,0.0,1887.0,36.0,>50K,Private
48.0,10.0,Black&more,Female,0.0,1669.0,38.0,<=50K,Private
21.0,6.0,White,Male,0.0,0.0,40.0,<=50K,Private
42.0,13.0,White,Male,6723.0,0.0,36.0,>50K,Private
33.0,11.0,White,Male,0.0,0.0,32.0,>50K,Private
58.0,10.0,White,Male,0.0,0.0,32.0,>50K,Federal-gov
30.0,13.0,White,Female,0.0,0.0,40.0,<=50K,Private
38.0,14.0,White,Male,0.0,0.0,35.0,<=50K,Local-gov
21.0,10.0,White,Female,0.0,0.0,25.0,<=50K,Private
27.0,13.0,White,Male,0.0,0.0,36.0,>50K,Private
43.0,10.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
57.0,9.0,White,Male,0.0,0.0,36.0,<=50K,Self-emp-not-inc
33.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
45.0,9.0,White,Male,0.0,0.0,48.0,<=50K,Self-emp-not-inc
22.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
50.0,15.0,Black&more,Female,0.0,0.0,52.0,>50K,Local-gov
43.0,9.0,White,Male,0.0,0.0,32.0,<=50K,State-gov
33.0,14.0,White,Male,0.0,0.0,32.0,<=50K,Private
36.0,13.0,White,Male,0.0,0.0,40.0,>50K,Private
42.0,11.0,White,Female,0.0,0.0,40.0,<=50K,Private
31.0,13.0,Black&more,Male,0.0,0.0,39.0,<=50K,Local-gov
33.0,13.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-not-inc
48.0,10.0,White,Male,0.0,0.0,32.0,>50K,Private
41.0,3.0,White,Male,0.0,0.0,28.0,<=50K,Private
44.0,10.0,White,Female,0.0,0.0,15.0,<=50K,Local-gov
25.0,12.0,White,Female,0.0,0.0,40.0,<=50K,Private
55.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
68.0,6.0,Black&more,Female,0.0,0.0,90.0,<=50K,Local-gov
61.0,9.0,White,Female,0.0,0.0,16.0,<=50K,Self-emp-not-inc
36.0,10.0,White,Female,0.0,0.0,32.0,<=50K,Private
33.0,13.0,White,Male,0.0,0.0,32.0,>50K,Private
50.0,16.0,White,Female,0.0,0.0,60.0,>50K,Self-emp-not-inc
37.0,13.0,White,Female,0.0,1340.0,42.0,<=50K,Private
46.0,8.0,White,Male,6723.0,0.0,32.0,>50K,Private
55.0,15.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-inc
61.0,2.0,White,Male,0.0,0.0,16.0,<=50K,Self-emp-not-inc
36.0,9.0,Black&more,Male,0.0,0.0,28.0,<=50K,Private
31.0,13.0,White,Male,0.0,0.0,38.0,<=50K,State-gov
30.0,10.0,White,Female,0.0,1719.0,25.0,<=50K,Private
37.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
25.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Local-gov
25.0,6.0,White,Male,0.0,0.0,32.0,<=50K,Private
45.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
47.0,10.0,White,Female,0.0,0.0,36.0,<=50K,Private
36.0,8.0,White,Male,0.0,0.0,32.0,<=50K,Private
40.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
40.0,9.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
41.0,11.0,White,Male,0.0,0.0,32.0,<=50K,Private
35.0,14.0,White,Male,0.0,1887.0,36.0,>50K,Private
25.0,15.0,White,Female,0.0,0.0,8.0,<=50K,Private
22.0,12.0,White,Female,0.0,0.0,15.0,<=50K,State-gov
26.0,10.0,White,Female,0.0,0.0,15.0,<=50K,Private
18.0,10.0,White,Male,594.0,0.0,8.0,<=50K,Private
48.0,9.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
23.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
20.0,6.0,White,Male,0.0,0.0,32.0,<=50K,Private
26.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
52.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
52.0,9.0,White,Female,0.0,0.0,25.0,<=50K,Private
23.0,10.0,White,Male,0.0,0.0,48.0,<=50K,Private
22.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
55.0,9.0,White,Male,0.0,0.0,32.0,>50K,Private
17.0,7.0,White,Male,0.0,0.0,21.0,<=50K,Private
63.0,13.0,White,Male,9562.0,0.0,32.0,>50K,Self-emp-not-inc
67.0,14.0,Black&more,Male,0.0,0.0,32.0,>50K,Private
47.0,13.0,White,Male,0.0,0.0,32.0,>50K,Local-gov
46.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Self-emp-not-inc
25.0,12.0,Black&more,Female,0.0,0.0,37.0,>50K,Private
57.0,15.0,White,Male,14344.0,0.0,40.0,>50K,Self-emp-inc
52.0,9.0,White,Male,3273.0,0.0,32.0,<=50K,Private
30.0,13.0,White,Male,0.0,0.0,32.0,>50K,Local-gov
45.0,13.0,White,Male,0.0,0.0,36.0,>50K,Private
52.0,13.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
38.0,9.0,White,Male,0.0,0.0,54.0,>50K,Private
19.0,9.0,Black&more,Female,0.0,0.0,20.0,<=50K,Private
30.0,6.0,White,Male,0.0,0.0,32.0,<=50K,Local-gov
30.0,12.0,White,Male,0.0,0.0,32.0,<=50K,Private
25.0,10.0,Black&more,Female,0.0,0.0,20.0,<=50K,Private
22.0,10.0,Black&more,Male,0.0,0.0,16.0,<=50K,Federal-gov
34.0,10.0,White,Male,0.0,0.0,36.0,<=50K,Private
28.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
26.0,14.0,White,Female,0.0,0.0,40.0,<=50K,Private
47.0,13.0,White,Male,0.0,0.0,46.0,>50K,Private
46.0,11.0,Black&more,Female,0.0,0.0,63.0,<=50K,Self-emp-inc
42.0,10.0,White,Female,0.0,0.0,43.0,<=50K,Private
17.0,6.0,White,Male,0.0,0.0,12.0,<=50K,Private
63.0,9.0,White,Male,0.0,0.0,12.0,<=50K,Private
38.0,12.0,White,Male,0.0,0.0,32.0,<=50K,Private
43.0,11.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-inc
45.0,13.0,White,Male,0.0,0.0,40.0,>50K,Private
48.0,9.0,White,Male,0.0,0.0,32.0,>50K,Private
49.0,10.0,Black&more,Male,0.0,0.0,48.0,<=50K,Private
45.0,15.0,White,Male,0.0,0.0,44.0,>50K,Self-emp-inc
32.0,13.0,White,Male,0.0,0.0,40.0,>50K,Private
46.0,13.0,White,Female,0.0,0.0,50.0,<=50K,Self-emp-inc
60.0,7.0,White,Male,0.0,0.0,16.0,<=50K,Local-gov
42.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
56.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
20.0,7.0,White,Female,0.0,0.0,40.0,<=50K,Private
19.0,10.0,White,Female,0.0,0.0,30.0,<=50K,Private
21.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
46.0,13.0,White,Male,0.0,0.0,36.0,<=50K,State-gov
59.0,13.0,White,Male,0.0,0.0,32.0,>50K,Private
41.0,10.0,White,Male,0.0,0.0,44.0,<=50K,Private
35.0,10.0,White,Male,0.0,0.0,48.0,<=50K,Private
45.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
44.0,13.0,White,Male,0.0,0.0,32.0,>50K,Local-gov
36.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
35.0,10.0,White,Female,0.0,0.0,40.0,>50K,Private
22.0,13.0,White,Female,0.0,0.0,43.0,<=50K,State-gov
34.0,10.0,White,Male,0.0,0.0,63.0,<=50K,Self-emp-inc
48.0,9.0,White,Male,0.0,0.0,32.0,>50K,Self-emp-not-inc
51.0,10.0,White,Male,0.0,1762.0,32.0,>50K,State-gov
78.0,14.0,White,Female,0.0,0.0,15.0,<=50K,Private
45.0,13.0,White,Male,0.0,0.0,39.0,<=50K,Private
39.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
36.0,13.0,White,Male,0.0,0.0,32.0,>50K,Private
26.0,13.0,White,Male,0.0,2339.0,44.0,<=50K,Local-gov
55.0,10.0,White,Male,0.0,0.0,30.0,<=50K,Private
41.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Local-gov
31.0,10.0,White,Female,0.0,0.0,35.0,<=50K,Local-gov
20.0,9.0,White,Female,0.0,0.0,20.0,<=50K,Private
26.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
43.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
68.0,4.0,White,Male,0.0,0.0,24.0,<=50K,Private
26.0,10.0,White,Male,0.0,0.0,3.0,<=50K,Private
43.0,8.0,White,Male,0.0,0.0,32.0,<=50K,Private
37.0,9.0,White,Male,0.0,0.0,36.0,<=50K,Self-emp-not-inc
32.0,10.0,White,Female,0.0,0.0,38.0,<=50K,Private
47.0,9.0,White,Female,0.0,0.0,60.0,<=50K,Private
42.0,13.0,White,Male,0.0,0.0,48.0,<=50K,Private
30.0,9.0,White,Male,0.0,0.0,21.0,<=50K,Local-gov
38.0,13.0,White,Female,0.0,2377.0,45.0,>50K,Private
26.0,12.0,White,Male,0.0,0.0,32.0,<=50K,Private
33.0,14.0,White,Male,0.0,0.0,32.0,>50K,Private
51.0,14.0,White,Male,99999.0,0.0,40.0,>50K,Private
25.0,11.0,White,Female,0.0,0.0,40.0,<=50K,Private
28.0,12.0,White,Male,0.0,0.0,16.0,<=50K,Private
28.0,9.0,White,Male,0.0,0.0,36.0,<=50K,Private
24.0,13.0,White,Male,2062.0,0.0,36.0,<=50K,Private
33.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
39.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
27.0,10.0,White,Female,0.0,0.0,45.0,<=50K,Private
17.0,6.0,Black&more,Male,0.0,0.0,16.0,<=50K,Private
46.0,10.0,White,Female,0.0,0.0,40.0,>50K,Private
47.0,11.0,White,Male,0.0,0.0,32.0,<=50K,Private
30.0,13.0,White,Male,0.0,0.0,40.0,>50K,Private
26.0,10.0,White,Female,0.0,0.0,24.0,<=50K,Private
61.0,14.0,White,Female,0.0,0.0,99.0,<=50K,Self-emp-inc
21.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
25.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
50.0,9.0,White,Male,0.0,0.0,35.0,>50K,Private
18.0,9.0,Black&more,Female,0.0,1602.0,38.0,<=50K,Private
35.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
23.0,11.0,White,Male,0.0,0.0,40.0,<=50K,Self-emp-inc
32.0,11.0,Black&more,Male,0.0,0.0,32.0,<=50K,Federal-gov
31.0,9.0,Black&more,Male,0.0,0.0,32.0,<=50K,Local-gov
43.0,11.0,White,Male,0.0,0.0,40.0,<=50K,Private
37.0,10.0,White,Female,0.0,0.0,45.0,<=50K,Private
54.0,6.0,Black&more,Female,0.0,0.0,10.0,<=50K,Self-emp-not-inc
32.0,10.0,White,Female,0.0,0.0,30.0,<=50K,Private
29.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
42.0,9.0,Black&more,Male,0.0,0.0,21.0,<=50K,Self-emp-not-inc
27.0,13.0,White,Male,0.0,0.0,32.0,<=50K,Private
21.0,9.0,White,Male,0.0,0.0,30.0,<=50K,Private
46.0,13.0,Black&more,Male,0.0,0.0,32.0,<=50K,Local-gov
35.0,10.0,White,Male,0.0,0.0,40.0,>50K,Self-emp-inc
47.0,9.0,White,Male,0.0,0.0,36.0,<=50K,Private
25.0,9.0,White,Male,0.0,0.0,63.0,<=50K,Private
58.0,10.0,White,Male,0.0,0.0,36.0,<=50K,Private
18.0,6.0,White,Female,0.0,0.0,6.0,<=50K,Local-gov
65.0,10.0,White,Female,1848.0,0.0,20.0,<=50K,Private
45.0,10.0,Black&more,Female,0.0,0.0,32.0,<=50K,Private
48.0,9.0,White,Male,7430.0,0.0,57.0,>50K,Private
36.0,12.0,Black&more,Male,8614.0,0.0,35.0,>50K,Private
56.0,9.0,White,Male,0.0,0.0,28.0,>50K,Private
36.0,12.0,White,Female,0.0,0.0,15.0,<=50K,Private
45.0,9.0,White,Female,0.0,0.0,40.0,<=50K,Private
22.0,10.0,White,Female,3781.0,0.0,35.0,<=50K,Private
24.0,13.0,White,Male,0.0,0.0,40.0,<=50K,Private
46.0,15.0,White,Male,14344.0,0.0,48.0,>50K,Self-emp-inc
43.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Federal-gov
58.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
41.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Self-emp-inc
25.0,4.0,White,Male,0.0,0.0,32.0,<=50K,Private
24.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
31.0,9.0,White,Male,0.0,0.0,39.0,<=50K,Local-gov
44.0,12.0,White,Male,0.0,0.0,32.0,>50K,Federal-gov
20.0,7.0,Black&more,Male,0.0,0.0,32.0,<=50K,Private
22.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
46.0,9.0,Black&more,Female,0.0,0.0,45.0,<=50K,Private
32.0,10.0,White,Male,0.0,0.0,40.0,<=50K,Private
47.0,10.0,White,Female,0.0,0.0,40.0,<=50K,Private
50.0,10.0,White,Male,0.0,0.0,32.0,<=50K,Private
30.0,4.0,White,Male,0.0,0.0,40.0,<=50K,Private
35.0,9.0,White,Male,0.0,0.0,40.0,<=50K,Private
30.0,12.0,Black&more,Male,0.0,0.0,32.0,<=50K,Local-gov
42.0,10.0,White,Female,0.0,0.0,50.0,<=50K,Self-emp-not-inc
47.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
26.0,9.0,White,Male,0.0,0.0,54.0,<=50K,Private
42.0,10.0,White,Male,0.0,0.0,78.0,>50K,Private
69.0,7.0,White,Male,0.0,0.0,39.0,<=50K,Private
41.0,9.0,White,Male,0.0,0.0,32.0,<=50K,Private
24.0,13.0,White,Female,0.0,0.0,20.0,<=50K,State-gov
32.0,12.0,Black&more,Female,0.0,0.0,40.0,<=50K,Local-gov
45.0,4.0,White,Male,0.0,0.0,54.0,>50K,Self-emp-not-inc
69.0,15.0,White,Male,99999.0,0.0,32.0,>50K,Self-emp-not-inc
39.0,13.0,Black&more,Female,0.0,625.0,40.0,<=50K,Federal-gov
56.0,13.0,White,Female,0.0,0.0,32.0,<=50K,Private
37.0,9.0,Black&more,Female,0.0,0.0,40.0,<=50K,Private
27.0,9.0,White,Male,7896.0,0.0,40.0,>50K,Self-emp-not-inc
