Unnamed: 0,sex,age,race,c_charge_degree,priors_count,is_recid
5533,Female,36,Caucasian,F,7,neg
377,Male,25,African-American,F,7,neg
2589,Male,30,African-American,F,0,pos
1888,Male,24,Caucasian,M,0,pos
5768,Female,33,Caucasian,F,3,neg
4324,Male,24,African-American,M,0,pos
836,Male,26,Caucasian,F,5,neg
4888,Male,31,Hispanic,F,1,neg
4816,Male,25,African-American,M,1,neg
3440,Male,44,Caucasian,M,0,neg
4768,Female,39,Caucasian,M,0,pos
1160,Female,21,African-American,F,3,neg
4582,Female,34,African-American,F,6,pos
1807,Male,32,African-American,F,8,neg
4401,Male,31,African-American,F,2,neg
2948,Female,20,African-American,F,1,neg
2653,Female,22,African-American,M,1,pos
1781,Male,22,African-American,F,0,pos
4741,Female,53,Caucasian,M,0,pos
1156,Male,20,Hispanic,F,0,neg
4066,Male,49,Caucasian,F,3,pos
6481,Male,29,African-American,F,7,neg
171,Male,52,Hispanic,M,2,pos
5516,Male,28,Caucasian,F,0,neg
7089,Male,51,Other,F,0,neg
3864,Male,23,Caucasian,M,0,pos
3354,Female,38,African-American,F,3,neg
6619,Male,28,African-American,F,5,neg
3785,Female,23,Hispanic,M,7,neg
2296,Male,31,African-American,F,7,neg
6773,Male,67,Caucasian,M,0,pos
4392,Male,39,Caucasian,M,0,pos
2097,Male,21,Other,F,1,pos
5404,Male,51,Hispanic,M,0,pos
2139,Male,25,African-American,F,4,neg
4644,Male,25,African-American,M,11,neg
3468,Male,36,Other,M,8,pos
366,Female,20,Other,F,1,pos
3638,Male,47,African-American,F,19,neg
2115,Female,46,African-American,F,0,pos
3563,Male,25,African-American,F,2,neg
5363,Female,38,Caucasian,M,1,neg
2106,Male,26,Caucasian,F,0,pos
3526,Female,38,Caucasian,F,3,pos
4460,Male,31,African-American,F,6,neg
4640,Male,26,Hispanic,M,1,pos
893,Male,27,Caucasian,F,0,neg
6672,Male,57,African-American,M,2,pos
323,Male,29,African-American,F,7,pos
3277,Male,27,African-American,F,6,neg
955,Female,24,Hispanic,F,2,neg
748,Female,25,African-American,M,1,pos
207,Female,28,African-American,F,0,pos
3159,Male,25,Caucasian,F,2,pos
6358,Female,36,Other,F,6,neg
535,Male,25,Caucasian,F,0,pos
5581,Male,30,African-American,M,1,pos
4370,Male,39,African-American,F,1,pos
6303,Male,19,Caucasian,F,1,neg
5346,Male,61,Caucasian,M,0,pos
3138,Male,57,African-American,F,2,pos
1742,Female,48,Hispanic,F,9,pos
5920,Male,24,Other,F,1,pos
4142,Male,29,Caucasian,F,3,neg
2152,Female,27,Caucasian,F,0,pos
6527,Male,26,Caucasian,F,2,pos
3939,Male,30,Other,F,0,pos
6551,Female,40,African-American,F,1,pos
4317,Female,53,Caucasian,F,6,neg
6954,Male,25,Caucasian,F,2,neg
497,Male,38,African-American,F,0,pos
4503,Male,35,Hispanic,F,2,pos
2224,Male,21,Caucasian,F,3,neg
3541,Male,31,African-American,M,2,pos
4253,Female,43,Caucasian,M,0,neg
3460,Male,67,Caucasian,M,0,pos
4716,Male,32,African-American,F,2,pos
1514,Female,22,African-American,F,0,neg
6263,Male,44,Caucasian,M,0,pos
72,Male,39,African-American,M,1,pos
548,Male,23,Caucasian,F,2,pos
4848,Male,32,Asian,M,0,pos
3887,Female,28,Caucasian,F,1,neg
5435,Female,39,Caucasian,F,3,pos
4296,Female,48,Caucasian,M,8,neg
5873,Female,48,Other,M,0,pos
3042,Male,21,Caucasian,M,1,pos
6580,Male,48,African-American,M,7,neg
6445,Male,29,Hispanic,M,0,neg
4868,Male,21,African-American,F,1,pos
1859,Male,53,Hispanic,F,9,neg
6110,Female,58,Hispanic,F,1,pos
740,Male,23,African-American,F,0,pos
4942,Male,26,Caucasian,F,2,pos
6817,Male,30,African-American,M,0,pos
607,Female,59,Caucasian,M,0,pos
4563,Female,45,Asian,F,6,neg
4019,Male,28,African-American,F,1,pos
3144,Male,67,Hispanic,F,2,pos
4385,Male,45,Caucasian,M,1,pos
876,Male,22,Caucasian,F,1,neg
6990,Female,50,Caucasian,F,3,neg
288,Male,28,African-American,M,3,neg
1406,Male,21,Other,F,0,pos
4722,Male,41,African-American,M,7,neg
938,Male,22,African-American,F,6,neg
3642,Male,30,African-American,F,0,pos
2914,Male,21,African-American,F,0,pos
1052,Male,35,Other,F,0,pos
4073,Male,47,Hispanic,F,1,pos
897,Male,28,African-American,M,3,neg
5822,Male,46,African-American,M,0,pos
5571,Male,22,Caucasian,M,0,neg
378,Female,53,Caucasian,M,1,pos
3300,Male,23,African-American,M,0,neg
856,Male,46,Caucasian,F,0,pos
4407,Female,37,African-American,M,0,pos
3407,Male,24,Caucasian,F,8,neg
4742,Male,31,Other,M,6,neg
6453,Female,55,Hispanic,F,0,pos
5102,Male,45,African-American,F,7,pos
6724,Female,33,Other,F,0,pos
5063,Female,55,Caucasian,F,2,pos
65,Male,29,African-American,F,4,neg
5505,Male,36,Caucasian,F,0,pos
6787,Male,28,African-American,F,1,neg
6996,Female,42,Other,F,0,pos
1302,Male,29,Caucasian,M,7,neg
1487,Male,26,Hispanic,M,0,neg
5243,Male,37,Hispanic,F,8,neg
1251,Male,51,Caucasian,F,3,neg
368,Male,30,Caucasian,F,0,pos
349,Female,32,Hispanic,F,1,neg
102,Female,39,Caucasian,F,0,neg
491,Female,30,Caucasian,M,0,pos
5534,Male,45,Hispanic,F,6,pos
521,Male,48,Caucasian,F,1,neg
3820,Male,24,African-American,F,1,pos
1174,Male,50,African-American,M,4,pos
4920,Female,31,African-American,M,1,pos
376,Male,40,Caucasian,F,0,neg
6858,Female,51,African-American,M,3,pos
4732,Male,43,Caucasian,F,6,neg
2598,Male,28,Caucasian,M,1,pos
307,Male,23,African-American,M,4,neg
4735,Male,37,African-American,M,3,pos
5984,Female,26,Caucasian,F,0,pos
2437,Male,25,African-American,F,1,neg
3854,Female,29,Caucasian,F,2,neg
4823,Female,25,African-American,F,0,pos
5043,Male,28,African-American,F,7,neg
5992,Male,21,Caucasian,F,2,neg
1130,Male,26,Caucasian,M,7,neg
4876,Male,27,African-American,M,8,neg
2474,Male,54,Caucasian,M,0,pos
3165,Male,35,African-American,F,5,pos
5957,Male,38,Other,F,0,neg
791,Male,32,African-American,F,22,neg
261,Male,24,Hispanic,M,0,pos
4505,Female,54,Caucasian,M,1,pos
1075,Male,49,African-American,F,1,neg
4281,Male,24,African-American,M,1,neg
4632,Male,25,Caucasian,F,3,pos
105,Male,31,Caucasian,M,0,pos
723,Male,41,Caucasian,M,2,pos
1322,Male,26,African-American,M,0,pos
2665,Male,23,Caucasian,F,3,neg
4879,Male,24,African-American,F,1,pos
642,Male,24,Caucasian,F,1,neg
3412,Male,33,Hispanic,M,3,pos
4728,Female,34,Caucasian,F,5,neg
4961,Female,20,Other,M,0,pos
3505,Female,27,Caucasian,M,0,pos
3772,Male,28,African-American,M,1,pos
3190,Male,31,Caucasian,M,0,pos
1522,Male,56,Caucasian,F,0,pos
3675,Male,57,African-American,F,9,pos
6559,Male,28,Caucasian,F,1,neg
4490,Female,28,African-American,M,0,pos
5345,Male,32,African-American,F,17,neg
2128,Female,45,Native American,F,15,neg
5665,Male,30,African-American,F,6,neg
6058,Male,38,Caucasian,F,0,pos
6568,Male,23,African-American,F,3,neg
2825,Male,56,Caucasian,F,2,pos
5683,Male,26,Other,F,1,neg
2829,Male,22,Caucasian,F,0,pos
4155,Male,28,Caucasian,M,5,pos
434,Male,33,Caucasian,F,0,pos
222,Male,48,African-American,F,0,pos
1252,Male,21,African-American,F,0,pos
3480,Male,34,Caucasian,M,3,neg
4426,Female,19,African-American,M,0,neg
2208,Male,22,African-American,F,0,pos
5054,Male,45,Caucasian,M,2,pos
1099,Female,30,African-American,M,4,neg
308,Male,62,Caucasian,F,0,pos
4331,Male,24,African-American,F,15,neg
6597,Male,53,African-American,M,13,pos
5738,Male,37,Caucasian,F,3,pos
1562,Male,42,Caucasian,F,2,neg
6582,Female,56,African-American,M,2,neg
3500,Male,24,African-American,M,1,neg
4699,Male,43,African-American,F,7,neg
3191,Female,32,African-American,F,3,pos
6885,Male,29,Caucasian,M,1,pos
44,Male,29,African-American,F,0,neg
6762,Female,26,Caucasian,F,7,neg
4052,Male,26,African-American,F,2,pos
3424,Male,26,Hispanic,M,1,neg
2686,Male,24,Caucasian,M,3,neg
3351,Male,34,African-American,M,1,neg
5081,Male,30,African-American,M,3,neg
2237,Male,22,African-American,M,0,pos
4726,Male,31,African-American,M,0,pos
2168,Female,27,Caucasian,M,4,neg
5804,Male,31,Hispanic,F,19,neg
5919,Male,41,African-American,M,0,pos
2380,Female,36,Caucasian,M,0,pos
4092,Female,45,African-American,F,3,pos
260,Female,23,Caucasian,F,5,neg
1225,Female,28,Caucasian,M,1,pos
4810,Female,29,Caucasian,F,0,neg
550,Male,42,African-American,F,8,pos
4620,Female,35,African-American,F,9,pos
7008,Female,47,African-American,M,4,pos
3706,Female,33,African-American,F,2,pos
6304,Male,53,Caucasian,F,0,pos
6520,Female,30,African-American,F,15,neg
6363,Male,42,Caucasian,M,0,pos
3247,Male,40,African-American,F,3,neg
3216,Female,25,African-American,F,4,neg
6428,Male,25,African-American,F,2,neg
1778,Male,34,African-American,F,2,pos
2072,Male,39,Caucasian,M,0,pos
1255,Female,54,Caucasian,F,1,pos
6203,Male,40,Hispanic,M,0,pos
580,Female,46,Caucasian,M,0,pos
1617,Male,26,African-American,F,13,neg
5547,Male,31,Caucasian,M,3,neg
2586,Male,37,Caucasian,M,0,pos
1953,Male,22,Caucasian,F,1,neg
4648,Male,27,African-American,F,15,neg
3492,Male,32,Caucasian,F,0,pos
620,Female,23,Caucasian,F,3,pos
6023,Female,34,African-American,M,1,pos
5611,Male,29,African-American,F,17,neg
3745,Male,22,African-American,M,2,neg
3359,Female,23,Caucasian,M,1,pos
4560,Male,25,African-American,F,5,neg
5805,Male,21,Other,M,0,pos
5863,Female,26,African-American,M,1,pos
1300,Male,39,African-American,F,5,neg
5747,Male,21,Caucasian,F,1,pos
3942,Male,29,African-American,M,6,pos
78,Female,26,African-American,F,1,neg
1057,Male,21,African-American,F,0,neg
5471,Male,26,Caucasian,M,10,neg
4413,Male,20,Caucasian,F,1,neg
2335,Male,33,Hispanic,F,0,pos
4404,Female,25,African-American,M,0,pos
3390,Male,24,African-American,M,1,pos
564,Male,25,Caucasian,F,2,neg
6276,Female,46,Other,F,1,pos
3174,Female,65,Caucasian,M,1,neg
5399,Male,39,Caucasian,F,3,neg
6949,Male,59,Caucasian,M,0,neg
2763,Male,35,Caucasian,F,2,neg
6915,Female,42,African-American,F,8,neg
5249,Male,25,African-American,F,2,pos
1890,Male,24,African-American,M,2,neg
2571,Male,19,African-American,F,0,neg
6598,Female,43,African-American,F,6,pos
875,Female,26,African-American,M,1,pos
4346,Male,43,African-American,F,0,neg
5541,Male,30,Hispanic,M,3,pos
2391,Male,49,African-American,F,10,neg
129,Male,30,Caucasian,M,1,pos
6678,Male,31,Caucasian,M,3,neg
1460,Male,43,African-American,F,4,neg
4769,Male,68,Caucasian,M,4,pos
3837,Male,39,African-American,F,19,neg
5823,Male,26,Other,F,3,pos
7170,Male,21,African-American,F,0,neg
6365,Male,43,Caucasian,F,1,pos
1334,Male,25,Caucasian,F,0,pos
1608,Male,32,African-American,M,1,pos
5615,Male,47,Caucasian,M,2,pos
3697,Male,28,African-American,F,5,pos
1347,Male,23,African-American,F,0,pos
3357,Male,53,African-American,M,6,neg
4031,Female,27,African-American,M,0,pos
5466,Male,25,Other,F,1,neg
2392,Male,26,African-American,F,4,neg
4912,Male,24,Caucasian,F,0,pos
1794,Male,25,Other,F,24,neg
1811,Male,23,Caucasian,F,2,neg
6807,Male,27,African-American,M,7,neg
3210,Female,47,Hispanic,F,2,pos
1296,Female,20,African-American,F,0,neg
1531,Male,45,African-American,F,3,pos
6344,Male,23,African-American,F,5,neg
1641,Male,28,African-American,M,5,pos
3356,Male,25,African-American,M,0,neg
2228,Male,21,African-American,F,3,neg
4684,Male,27,Hispanic,M,1,pos
2908,Male,24,Caucasian,F,6,pos
3728,Male,40,Caucasian,M,0,neg
6693,Female,23,African-American,M,0,pos
5761,Male,25,Caucasian,F,7,neg
4500,Male,22,Caucasian,F,0,pos
1127,Male,53,Caucasian,F,1,neg
5344,Male,30,African-American,F,1,pos
2895,Male,35,African-American,M,1,pos
2648,Male,24,Caucasian,M,3,neg
5758,Male,40,African-American,M,23,neg
2382,Female,24,African-American,F,2,pos
5172,Male,36,Caucasian,F,0,neg
269,Male,20,African-American,F,0,pos
4094,Male,44,Hispanic,F,2,pos
1452,Male,51,Other,F,2,pos
1244,Female,42,Caucasian,F,0,neg
2290,Male,49,Caucasian,F,7,pos
2428,Male,46,Caucasian,F,5,neg
3616,Male,41,African-American,F,7,pos
4422,Male,23,Other,M,0,pos
4572,Male,54,African-American,M,3,pos
6893,Male,31,Caucasian,F,0,pos
3178,Male,24,Other,M,3,neg
6612,Female,31,Hispanic,F,2,neg
1172,Female,27,African-American,F,3,neg
4360,Male,25,African-American,F,4,neg
2343,Male,40,Caucasian,M,0,neg
1538,Male,34,African-American,M,2,pos
4639,Male,22,African-American,F,1,pos
5675,Male,25,African-American,M,6,neg
5129,Female,55,Caucasian,F,0,neg
5378,Male,47,Caucasian,F,2,neg
2460,Male,27,Caucasian,F,2,neg
4341,Male,27,Hispanic,F,0,neg
1128,Female,27,Hispanic,F,0,neg
4985,Male,30,Hispanic,F,14,neg
3093,Male,39,Caucasian,F,1,pos
61,Male,27,African-American,F,15,neg
3894,Male,45,Caucasian,F,2,pos
4598,Male,30,Other,F,1,pos
5498,Female,28,Caucasian,F,3,neg
2707,Male,57,Caucasian,F,0,pos
891,Male,43,Hispanic,M,0,pos
3263,Male,58,African-American,F,10,neg
1968,Male,57,Caucasian,F,2,pos
1552,Male,58,African-American,F,24,neg
5423,Male,48,Caucasian,M,0,neg
2187,Male,23,African-American,F,2,pos
5831,Male,39,Caucasian,M,0,pos
1354,Male,28,African-American,M,1,pos
2021,Male,46,Caucasian,M,5,pos
1728,Male,37,African-American,F,8,pos
5726,Male,36,Caucasian,F,12,pos
2573,Female,33,African-American,F,5,neg
2213,Female,45,African-American,F,1,pos
3983,Female,28,Caucasian,F,0,pos
6149,Female,26,African-American,F,5,neg
3127,Male,42,Caucasian,F,3,neg
841,Male,29,African-American,M,2,pos
5078,Male,39,Hispanic,F,0,pos
6514,Male,58,African-American,M,0,pos
6971,Male,45,Caucasian,M,4,neg
1207,Male,28,African-American,F,7,neg
3090,Female,39,African-American,F,1,pos
3708,Male,39,Caucasian,F,3,neg
2505,Male,25,African-American,F,2,pos
2741,Male,59,Caucasian,F,0,pos
4818,Male,25,African-American,M,0,neg
4656,Male,32,African-American,F,9,neg
2996,Male,52,African-American,F,0,neg
5339,Male,31,African-American,F,16,neg
2697,Male,27,Caucasian,F,6,neg
6826,Male,30,Hispanic,M,0,pos
5905,Female,28,Caucasian,M,1,pos
5038,Male,60,African-American,F,1,pos
3877,Male,37,African-American,M,22,neg
3241,Male,29,African-American,F,5,pos
184,Male,47,African-American,M,23,neg
3572,Female,25,Caucasian,F,0,neg
1550,Female,28,Hispanic,M,2,pos
6017,Male,47,African-American,F,13,neg
4339,Female,47,Other,F,0,pos
2626,Male,54,Caucasian,F,1,pos
4040,Male,31,African-American,F,6,pos
2467,Female,31,African-American,F,14,pos
7137,Male,33,African-American,F,3,pos
2318,Male,26,Caucasian,F,8,neg
935,Male,25,Caucasian,F,1,pos
1407,Male,57,Caucasian,F,15,pos
4497,Female,23,African-American,M,1,pos
5438,Male,26,African-American,F,10,neg
3548,Female,43,African-American,F,2,pos
1976,Female,24,Hispanic,M,0,pos
2337,Male,40,Caucasian,F,4,pos
3414,Male,41,African-American,M,4,neg
3679,Male,51,Caucasian,M,1,pos
6104,Male,30,African-American,M,0,pos
889,Female,31,Caucasian,F,1,neg
1051,Female,38,Caucasian,F,0,pos
3429,Female,53,Caucasian,M,0,pos
5765,Male,57,African-American,F,11,neg
148,Female,33,African-American,F,7,neg
1533,Male,45,African-American,M,0,pos
3601,Male,33,African-American,F,3,neg
3134,Male,37,African-American,F,10,neg
5942,Male,50,Caucasian,F,5,neg
5789,Male,24,African-American,M,2,neg
2267,Male,34,African-American,F,3,pos
7095,Male,40,Caucasian,F,0,pos
4982,Male,34,Other,M,2,pos
3295,Female,26,Caucasian,M,0,pos
5333,Male,43,African-American,F,1,neg
1653,Female,24,African-American,F,1,pos
807,Female,19,Caucasian,M,1,neg
2837,Male,23,African-American,F,1,pos
1628,Male,22,Hispanic,F,0,pos
169,Male,23,Hispanic,F,0,pos
1261,Male,40,Other,M,0,pos
2936,Male,32,African-American,F,6,neg
4372,Female,24,African-American,F,1,pos
857,Female,30,Hispanic,M,1,pos
3172,Male,30,African-American,M,1,pos
6440,Male,53,African-American,F,20,pos
130,Male,28,Caucasian,F,2,pos
5420,Male,58,African-American,F,0,pos
6014,Female,52,Hispanic,M,0,neg
3561,Male,56,African-American,M,0,pos
818,Female,32,Caucasian,M,1,neg
4913,Male,41,Caucasian,F,2,pos
5239,Male,22,African-American,F,3,neg
2300,Male,34,Hispanic,F,1,neg
4522,Male,33,African-American,F,18,neg
2240,Male,25,Caucasian,M,0,pos
5349,Male,41,Hispanic,M,2,pos
1131,Male,39,African-American,M,1,neg
6953,Male,24,African-American,F,1,neg
2218,Male,35,Caucasian,F,6,neg
4795,Male,25,Caucasian,F,6,neg
5997,Male,50,Caucasian,F,2,neg
142,Female,20,African-American,F,1,pos
912,Male,25,African-American,M,0,pos
4247,Female,52,Caucasian,F,0,pos
5962,Male,24,African-American,F,6,neg
6880,Male,29,Caucasian,M,2,pos
4836,Male,34,African-American,F,4,neg
5235,Male,35,African-American,F,0,pos
1733,Male,45,African-American,F,15,neg
2727,Male,25,African-American,F,13,neg
118,Male,31,African-American,M,1,pos
6668,Male,30,African-American,M,8,neg
3833,Male,34,Caucasian,F,16,neg
6217,Male,21,Caucasian,M,0,neg
6914,Male,37,African-American,M,4,neg
6160,Male,46,Caucasian,F,0,pos
2640,Female,40,Hispanic,F,7,neg
1108,Male,25,Other,F,1,pos
5743,Male,29,Caucasian,F,1,pos
3177,Male,34,African-American,F,6,neg
5653,Female,39,Hispanic,F,2,pos
1379,Male,20,African-American,F,2,neg
6196,Male,31,Other,F,3,neg
2445,Male,23,African-American,F,4,neg
7029,Male,42,African-American,M,0,pos
6416,Male,27,African-American,F,2,neg
439,Female,24,Caucasian,F,0,pos
367,Male,36,Hispanic,F,1,pos
396,Female,28,Hispanic,F,0,pos
2582,Male,27,African-American,F,1,neg
2548,Male,50,Caucasian,M,2,neg
2737,Male,22,African-American,F,0,neg
5053,Male,46,Caucasian,F,14,neg
1417,Male,28,Caucasian,F,1,pos
2531,Female,32,African-American,F,0,pos
1175,Female,23,African-American,M,0,pos
4297,Male,24,African-American,M,2,pos
250,Male,22,Caucasian,M,1,neg
990,Male,23,African-American,M,2,pos
3659,Female,30,Caucasian,M,1,pos
2020,Male,34,Caucasian,F,0,pos
6960,Male,40,Caucasian,F,4,neg
5519,Male,33,African-American,F,8,neg
3111,Male,30,Caucasian,F,4,pos
1032,Male,25,Other,F,1,pos
4430,Male,33,African-American,F,2,pos
3438,Male,50,Hispanic,M,9,neg
3000,Male,62,Caucasian,M,3,pos
4156,Male,20,African-American,F,0,pos
3698,Male,38,Caucasian,F,12,pos
7177,Male,34,Caucasian,F,1,pos
6483,Male,32,Hispanic,F,1,pos
6726,Male,57,Caucasian,M,0,pos
2880,Female,28,African-American,F,0,neg
979,Female,36,Caucasian,F,4,neg
3823,Male,54,Caucasian,M,2,neg
974,Male,32,Caucasian,F,8,neg
6587,Male,23,Caucasian,F,0,neg
3573,Female,32,Caucasian,F,4,pos
4229,Female,36,Hispanic,M,0,pos
6744,Male,36,Caucasian,F,0,neg
2008,Male,51,African-American,M,0,pos
2988,Female,25,African-American,F,0,neg
4958,Male,37,African-American,F,0,pos
5073,Female,23,African-American,F,3,neg
5551,Male,37,African-American,M,3,pos
4258,Female,27,Caucasian,F,3,pos
0,Male,69,Other,F,0,pos
4377,Male,22,African-American,F,1,neg
6269,Male,22,Caucasian,F,1,pos
4631,Male,61,African-American,F,29,neg
4398,Male,30,Caucasian,F,1,pos
3979,Male,42,Caucasian,F,0,pos
2406,Male,35,African-American,M,4,pos
4591,Male,25,Caucasian,F,2,pos
2289,Male,28,African-American,F,4,neg
6827,Female,61,Caucasian,F,15,pos
6643,Male,31,Caucasian,M,2,neg
6945,Male,21,Caucasian,F,3,neg
5128,Male,37,African-American,F,2,neg
6844,Male,34,Hispanic,F,17,neg
314,Male,27,African-American,M,0,pos
2667,Female,55,Caucasian,M,0,pos
6469,Male,29,African-American,M,1,neg
4022,Male,32,African-American,F,9,pos
4187,Male,24,African-American,M,2,neg
4298,Female,26,African-American,F,0,pos
283,Female,25,Other,F,0,pos
1989,Male,30,African-American,F,14,neg
5792,Male,54,African-American,F,13,pos
6517,Male,24,African-American,F,15,neg
1744,Female,40,African-American,F,0,pos
6921,Male,20,Caucasian,F,1,neg
3610,Male,45,African-American,M,1,pos
6101,Male,37,Hispanic,M,3,pos
5031,Female,47,Caucasian,F,28,neg
2003,Male,56,African-American,F,1,pos
1593,Female,46,African-American,M,1,pos
6426,Male,34,African-American,F,0,pos
671,Female,31,African-American,M,0,pos
5527,Female,31,Caucasian,F,2,neg
4794,Male,50,Hispanic,M,0,pos
6245,Male,26,Hispanic,F,5,neg
4035,Male,29,African-American,M,0,pos
7157,Male,26,Caucasian,M,3,neg
3872,Male,40,African-American,F,13,pos
7088,Male,54,African-American,F,10,neg
4007,Female,23,Caucasian,F,0,pos
4456,Female,38,Caucasian,M,1,pos
324,Male,20,African-American,F,0,neg
5263,Female,20,Caucasian,F,0,neg
2975,Male,30,Caucasian,F,3,pos
1326,Male,33,Other,M,0,pos
6752,Male,56,Caucasian,M,0,pos
2182,Female,30,Hispanic,M,0,neg
156,Male,29,Hispanic,F,1,pos
197,Male,34,African-American,M,2,neg
4486,Male,43,Caucasian,F,0,neg
6652,Male,26,African-American,M,13,neg
5388,Female,21,African-American,F,1,neg
3847,Male,33,African-American,F,14,neg
1332,Male,43,Caucasian,F,2,pos
5326,Male,40,African-American,F,1,pos
6968,Male,25,Caucasian,M,0,neg
3001,Male,57,Other,F,10,neg
1254,Male,35,African-American,F,4,neg
2091,Male,37,African-American,F,4,pos
2954,Female,26,African-American,F,3,neg
